age,monthly_usage,account_duration,payment_history,customer_support_calls,product_tier
44.0,47.22475841090731,117.0,0.0,3.0,2.0
57.0,29.5686839081633,38.0,2.0,5.0,1.0
43.0,55.847328571227564,29.0,1.0,3.0,2.0
24.0,52.74144874288395,78.0,2.0,4.0,3.0
28.0,47.693150104607994,43.0,0.0,6.0,2.0
39.0,40.55203824230202,104.0,2.0,7.0,2.0
57.0,69.71115860081574,23.0,0.0,9.0,1.0
36.0,58.09081346144567,25.0,2.0,9.0,2.0
55.0,42.71480938682324,105.0,0.0,7.0,1.0
37.0,55.973479852457714,102.0,0.0,6.0,3.0
36.0,38.30013952864458,28.0,0.0,3.0,3.0
36.0,64.6780724235893,99.0,2.0,3.0,2.0
53.0,81.4512695596122,94.0,0.0,1.0,3.0
64.0,66.60644600886366,91.0,2.0,8.0,1.0
44.0,40.091616716503175,72.0,0.0,5.0,1.0
34.0,35.56640384956869,112.0,1.0,2.0,2.0
35.0,51.48280176984205,83.0,0.0,2.0,3.0
37.0,25.858726210399787,1.0,1.0,0.0,1.0
61.0,63.72429138362377,109.0,0.0,1.0,1.0
59.0,59.9859475776817,108.0,0.0,4.0,1.0
58.0,47.69853484986048,20.0,0.0,8.0,1.0
25.0,45.64927630236372,94.0,0.0,2.0,1.0
57.0,48.341437656068294,29.0,0.0,6.0,3.0
28.0,73.42691888977711,8.0,2.0,5.0,2.0
47.0,43.91588347170432,62.0,2.0,2.0,2.0
29.0,32.060642894513705,14.0,2.0,3.0,1.0
40.0,38.27335093355148,38.0,1.0,4.0,3.0
23.0,64.84094547709927,3.0,0.0,1.0,3.0
52.0,35.58841258012396,3.0,0.0,7.0,1.0
32.0,67.97877770263098,55.0,0.0,6.0,3.0
55.0,46.97705974995278,78.0,1.0,8.0,2.0
45.0,23.09673385429597,21.0,1.0,7.0,1.0
24.0,61.230212949118524,35.0,1.0,6.0,1.0
23.0,45.929674680048876,44.0,1.0,8.0,2.0
44.0,55.57333901498112,44.0,2.0,9.0,2.0
19.0,40.651704488613426,113.0,1.0,4.0,3.0
23.0,68.46398871088101,43.0,1.0,2.0,3.0
49.0,56.684914118590356,41.0,1.0,5.0,2.0
46.0,82.4958282536632,27.0,1.0,8.0,3.0
51.0,60.65812606855648,92.0,2.0,5.0,2.0
18.0,46.50841420826684,28.0,0.0,2.0,3.0
32.0,37.032470832393415,5.0,1.0,1.0,3.0
27.0,28.74135662997348,43.0,2.0,4.0,1.0
27.0,48.06861105253596,63.0,2.0,7.0,1.0
27.0,48.65225913880324,39.0,2.0,7.0,2.0
54.0,73.86476491845737,10.0,0.0,0.0,2.0
49.0,43.83197030195957,63.0,1.0,2.0,2.0
53.0,65.22046902565492,9.0,0.0,4.0,3.0
42.0,48.39878613074868,84.0,2.0,0.0,1.0
32.0,78.37766450285861,93.0,0.0,5.0,1.0
26.0,26.510192300300506,111.0,2.0,3.0,2.0
33.0,70.28072921388406,29.0,2.0,8.0,3.0
58.0,42.51492173125871,28.0,1.0,1.0,2.0
36.0,63.373465353528175,11.0,2.0,9.0,1.0
63.0,73.57652181124959,85.0,0.0,4.0,1.0
61.0,44.731833926363976,99.0,0.0,4.0,1.0
29.0,33.55611088606469,87.0,2.0,5.0,1.0
52.0,32.10338602724349,93.0,1.0,4.0,2.0
68.0,37.19070547526884,15.0,0.0,9.0,2.0
60.0,13.563404700716191,81.0,1.0,9.0,2.0
22.0,46.586164584582264,24.0,1.0,8.0,3.0
55.0,59.74674978724927,35.0,1.0,0.0,1.0
23.0,53.689796932772396,61.0,1.0,7.0,2.0
68.0,44.32928106979461,20.0,2.0,5.0,2.0
31.0,36.69702296552148,58.0,2.0,8.0,1.0
65.0,41.435766540212185,63.0,2.0,9.0,2.0
29.0,54.25566031072994,100.0,1.0,6.0,3.0
67.0,62.37882754612407,75.0,0.0,2.0,1.0
39.0,27.569861156381,119.0,0.0,7.0,2.0
62.0,52.360645491055976,94.0,2.0,9.0,3.0
69.0,53.975938145434895,60.0,0.0,2.0,2.0
58.0,35.84783178670154,39.0,2.0,2.0,1.0
67.0,58.20407150949091,20.0,1.0,3.0,1.0
21.0,64.00183623028279,86.0,2.0,2.0,1.0
60.0,41.44882797089481,88.0,0.0,5.0,3.0
35.0,37.00108194313109,58.0,2.0,6.0,1.0
48.0,82.33278350292466,64.0,2.0,2.0,1.0
52.0,62.00719712525991,14.0,0.0,2.0,3.0
21.0,52.69668466068026,36.0,2.0,6.0,3.0
26.0,39.88616177504767,13.0,2.0,9.0,1.0
62.0,38.40871203342576,1.0,0.0,8.0,3.0
32.0,58.59662209153065,119.0,2.0,2.0,3.0
59.0,37.66212207721361,114.0,1.0,5.0,2.0
38.0,37.013362792819564,91.0,2.0,4.0,2.0
49.0,47.97585778572049,13.0,0.0,7.0,1.0
26.0,59.57411656790426,35.0,1.0,8.0,2.0
65.0,76.45973333256808,8.0,1.0,7.0,1.0
49.0,53.60615620242,18.0,0.0,0.0,3.0
33.0,37.67636088619068,34.0,0.0,6.0,2.0
62.0,45.98402940253891,52.0,2.0,7.0,3.0
22.0,69.56186579491997,70.0,1.0,4.0,2.0
59.0,68.04726834587696,58.0,1.0,3.0,2.0
48.0,68.70612127412937,27.0,1.0,6.0,2.0
42.0,65.2051505779301,18.0,0.0,5.0,3.0
18.0,78.711527112706,57.0,2.0,1.0,2.0
20.0,53.111335445624434,114.0,0.0,8.0,2.0
38.0,61.275437494684255,9.0,1.0,2.0,2.0
45.0,37.90106841715877,64.0,2.0,0.0,3.0
20.0,53.49452238586548,79.0,2.0,2.0,1.0
59.0,54.08930004283021,23.0,0.0,0.0,2.0
49.0,61.82980087229098,59.0,1.0,9.0,2.0
49.0,40.6245112500071,67.0,1.0,6.0,2.0
66.0,26.52235130634201,73.0,1.0,5.0,1.0
47.0,41.28831591666325,22.0,2.0,7.0,1.0
67.0,65.92718047177459,50.0,1.0,3.0,3.0
30.0,46.816470427040265,23.0,0.0,5.0,2.0
51.0,57.04110611505273,84.0,2.0,2.0,1.0
65.0,41.021578561881306,52.0,0.0,3.0,3.0
21.0,65.61034459742399,7.0,2.0,5.0,1.0
35.0,48.413345696096414,117.0,0.0,4.0,2.0
49.0,48.202840342099954,17.0,1.0,1.0,1.0
31.0,69.91293101051049,3.0,2.0,8.0,1.0
49.0,73.64783995543843,7.0,0.0,1.0,1.0
23.0,70.20974110717125,77.0,2.0,7.0,2.0
60.0,45.08142706594489,41.0,2.0,4.0,1.0
34.0,41.07791349065176,105.0,1.0,6.0,2.0
25.0,36.3239852765716,23.0,2.0,5.0,3.0
52.0,27.667055765230256,37.0,0.0,1.0,2.0
41.0,36.007124815865666,68.0,2.0,3.0,2.0
20.0,37.26952062097009,73.0,0.0,8.0,2.0
34.0,31.07246600120062,70.0,1.0,6.0,2.0
53.0,27.242090980228646,106.0,2.0,0.0,2.0
68.0,30.445367110130327,64.0,0.0,3.0,1.0
57.0,49.23474434425607,18.0,2.0,9.0,3.0
34.0,56.609827199763465,35.0,2.0,2.0,2.0
47.0,55.28424230741533,23.0,1.0,0.0,2.0
42.0,42.1751228017806,95.0,2.0,4.0,3.0
39.0,44.768827542966065,84.0,2.0,8.0,2.0
54.0,55.50911139398411,7.0,1.0,3.0,1.0
28.0,52.88687224295441,61.0,2.0,1.0,3.0
29.0,58.42650044383677,76.0,1.0,6.0,1.0
38.0,35.56426423018763,101.0,2.0,7.0,3.0
32.0,76.0086160538444,49.0,0.0,1.0,1.0
29.0,59.47136680434967,115.0,0.0,9.0,3.0
39.0,61.141925082950316,57.0,0.0,8.0,3.0
56.0,34.08640551802661,68.0,1.0,9.0,1.0
52.0,33.738976092967,12.0,1.0,7.0,1.0
59.0,39.539915736671524,117.0,1.0,3.0,2.0
33.0,61.054642002023556,15.0,1.0,3.0,3.0
50.0,32.64307679309081,2.0,1.0,4.0,3.0
60.0,56.69756512988572,47.0,1.0,0.0,3.0
66.0,71.87916261080136,75.0,2.0,6.0,1.0
31.0,39.39472583290226,56.0,0.0,3.0,1.0
35.0,35.95277070614409,97.0,1.0,0.0,3.0
61.0,39.03371001554223,14.0,2.0,3.0,2.0
33.0,47.538109011136655,27.0,2.0,3.0,3.0
57.0,64.25306923805636,4.0,1.0,0.0,3.0
20.0,65.17367101469034,38.0,0.0,8.0,3.0
60.0,61.98089228190342,104.0,1.0,7.0,2.0
43.0,20.843402654019897,84.0,0.0,8.0,3.0
32.0,47.18868105055207,2.0,0.0,6.0,1.0
53.0,36.76651795779859,4.0,1.0,4.0,2.0
44.0,56.06464016349737,113.0,0.0,6.0,2.0
65.0,63.50061222522221,24.0,0.0,1.0,1.0
34.0,42.51287912587211,9.0,0.0,9.0,2.0
31.0,78.81950806431524,19.0,1.0,6.0,2.0
19.0,36.408317303588156,62.0,0.0,3.0,2.0
44.0,57.97983522642773,72.0,0.0,4.0,3.0
64.0,82.1669185616,41.0,2.0,6.0,1.0
41.0,63.77118156671654,92.0,1.0,1.0,1.0
57.0,58.91725699939591,77.0,0.0,4.0,1.0
62.0,47.44377949662146,72.0,1.0,1.0,2.0
52.0,59.17214349272718,78.0,1.0,9.0,3.0
21.0,41.71875370318745,50.0,2.0,5.0,3.0
43.0,66.91972301741365,114.0,2.0,9.0,2.0
53.0,39.137680715698494,74.0,0.0,7.0,3.0
21.0,46.273864848212874,84.0,0.0,6.0,1.0
51.0,37.40878521509355,65.0,0.0,4.0,1.0
30.0,44.84776976049709,76.0,1.0,2.0,2.0
57.0,43.1305475004541,99.0,2.0,3.0,2.0
58.0,19.754073694328845,84.0,2.0,1.0,2.0
18.0,50.50072699619376,76.0,0.0,5.0,2.0
18.0,42.738329484522964,114.0,2.0,7.0,1.0
26.0,30.357407086500444,12.0,1.0,7.0,2.0
28.0,39.732172693553984,39.0,0.0,8.0,1.0
33.0,55.424319149363605,29.0,2.0,4.0,3.0
46.0,23.390784765278482,58.0,0.0,9.0,3.0
53.0,47.58977675304506,67.0,1.0,5.0,2.0
32.0,67.18365536355421,71.0,1.0,1.0,1.0
56.0,43.513595133188176,87.0,0.0,9.0,1.0
19.0,71.93630875933503,77.0,0.0,3.0,3.0
27.0,66.13723643980352,75.0,2.0,2.0,2.0
66.0,55.46047755314682,25.0,1.0,8.0,2.0
28.0,49.63781829273206,116.0,1.0,5.0,3.0
47.0,50.10095525512896,84.0,0.0,5.0,2.0
40.0,57.34892910600229,49.0,2.0,3.0,3.0
39.0,79.98456379923331,63.0,0.0,5.0,3.0
68.0,57.51306115420257,111.0,0.0,0.0,1.0
59.0,72.3270682678387,27.0,0.0,8.0,3.0
53.0,32.61387611346437,70.0,1.0,2.0,3.0
46.0,41.896175604419646,70.0,0.0,4.0,3.0
62.0,50.24919389454738,103.0,0.0,6.0,3.0
49.0,70.1528421700324,105.0,2.0,1.0,2.0
50.0,23.126953662204127,58.0,0.0,3.0,1.0
56.0,95.26630921623105,9.0,2.0,5.0,1.0
26.0,49.995542203519,85.0,0.0,0.0,2.0
18.0,67.66997670218757,82.0,1.0,5.0,2.0
35.0,49.75929878073295,1.0,0.0,4.0,2.0
67.0,37.76485615018554,114.0,1.0,1.0,2.0
65.0,75.70009331411802,114.0,0.0,5.0,1.0
39.0,47.10025734167232,76.0,1.0,4.0,1.0
65.0,39.125210199524666,65.0,1.0,0.0,1.0
54.0,55.76970744148337,92.0,0.0,5.0,1.0
31.0,58.941082162061605,24.0,2.0,6.0,2.0
39.0,55.02256512175811,19.0,1.0,8.0,3.0
50.0,56.24424880933695,14.0,1.0,1.0,3.0
23.0,55.71062999458882,14.0,0.0,5.0,2.0
44.0,68.49702645222219,90.0,2.0,5.0,2.0
23.0,50.849041421272624,80.0,1.0,0.0,1.0
61.0,40.27749327561404,88.0,0.0,7.0,3.0
67.0,60.83655239588592,32.0,1.0,4.0,1.0
58.0,13.032734958397661,6.0,0.0,1.0,3.0
33.0,59.03022190120164,113.0,0.0,4.0,1.0
64.0,72.6126679424996,109.0,2.0,3.0,3.0
19.0,61.431740259477564,94.0,0.0,6.0,1.0
54.0,26.16892291429173,23.0,2.0,9.0,1.0
46.0,71.63650193864638,19.0,0.0,7.0,2.0
40.0,41.715777542202396,89.0,0.0,0.0,1.0
38.0,52.99032476637322,89.0,1.0,0.0,3.0
30.0,69.35783355306802,116.0,2.0,7.0,1.0
68.0,40.7320673166454,2.0,1.0,3.0,1.0
18.0,52.08422902526408,74.0,2.0,7.0,2.0
46.0,30.436531261965563,41.0,2.0,6.0,3.0
65.0,47.20650037843067,53.0,1.0,8.0,2.0
24.0,32.49823982544541,27.0,2.0,6.0,1.0
48.0,57.249728771036025,108.0,2.0,3.0,3.0
62.0,28.245520216528877,8.0,1.0,4.0,1.0
39.0,48.65482795660787,105.0,2.0,6.0,1.0
33.0,41.493655814157165,43.0,1.0,1.0,3.0
45.0,39.26383204642298,33.0,0.0,2.0,2.0
61.0,66.51404877459848,43.0,1.0,2.0,2.0
56.0,33.88894351164997,83.0,2.0,8.0,2.0
42.0,41.85788324134852,119.0,0.0,1.0,1.0
31.0,52.880096871314365,30.0,0.0,3.0,3.0
67.0,59.6371517749192,34.0,0.0,7.0,3.0
38.0,22.907042843545117,78.0,1.0,0.0,2.0
36.0,47.32307146018842,100.0,1.0,8.0,2.0
30.0,61.350089287055845,20.0,0.0,5.0,1.0
19.0,74.95731099532497,87.0,2.0,3.0,3.0
68.0,50.478032683303454,62.0,2.0,4.0,2.0
53.0,28.991215429188458,79.0,0.0,6.0,1.0
31.0,49.807139711151784,2.0,2.0,7.0,1.0
51.0,42.775759379680466,88.0,2.0,4.0,2.0
35.0,55.10180660791639,88.0,1.0,6.0,3.0
41.0,77.61098413359605,95.0,2.0,2.0,2.0
47.0,32.41482340845569,80.0,1.0,1.0,1.0
68.0,66.4534755386017,118.0,0.0,1.0,1.0
36.0,63.5464618037122,68.0,2.0,9.0,1.0
53.0,59.81594454619551,98.0,2.0,2.0,2.0
38.0,53.927584508970966,79.0,1.0,5.0,3.0
36.0,81.11879070175227,83.0,1.0,9.0,2.0
43.0,69.35381574870294,19.0,0.0,0.0,2.0
52.0,41.24120116448195,112.0,0.0,2.0,2.0
57.0,50.73718717135213,108.0,2.0,2.0,2.0
21.0,33.721952171008006,35.0,1.0,1.0,1.0
38.0,70.81368225858951,20.0,1.0,0.0,3.0
20.0,50.708269023748365,111.0,2.0,0.0,1.0
22.0,21.130275632316675,103.0,1.0,0.0,1.0
60.0,13.141991561515965,41.0,1.0,7.0,3.0
46.0,41.62800711448024,29.0,1.0,5.0,2.0
36.0,37.36367422898083,15.0,1.0,8.0,2.0
68.0,43.35271122082032,84.0,2.0,2.0,2.0
34.0,46.89589783004915,32.0,0.0,6.0,3.0
51.0,69.44505456700507,13.0,0.0,5.0,2.0
37.0,71.37180723576385,7.0,2.0,8.0,3.0
45.0,83.49339645030344,54.0,0.0,8.0,2.0
26.0,75.62523020785682,16.0,1.0,8.0,3.0
20.0,59.44355655376171,10.0,2.0,6.0,1.0
27.0,28.974844602517866,56.0,0.0,8.0,3.0
38.0,62.031360577071794,66.0,1.0,6.0,3.0
58.0,26.334006214268104,115.0,0.0,8.0,1.0
69.0,54.975197586442455,38.0,2.0,1.0,3.0
21.0,27.67689397219894,53.0,0.0,1.0,3.0
39.0,79.13530666488155,82.0,0.0,6.0,2.0
24.0,55.76274168917769,34.0,0.0,9.0,3.0
29.0,46.90966998339321,85.0,2.0,5.0,3.0
28.0,43.231798350770326,85.0,1.0,5.0,2.0
39.0,49.470528203830604,1.0,2.0,4.0,1.0
46.0,39.09323584355172,79.0,0.0,0.0,1.0
44.0,45.07821276825838,74.0,2.0,6.0,3.0
64.0,19.937633127244126,59.0,0.0,1.0,1.0
37.0,36.18696359652499,99.0,1.0,7.0,2.0
31.0,32.56545053776462,25.0,1.0,9.0,3.0
24.0,57.81476648734312,32.0,0.0,6.0,3.0
32.0,50.5021085051417,31.0,2.0,1.0,3.0
63.0,62.99909392421009,74.0,0.0,1.0,1.0
45.0,43.6868260792541,3.0,2.0,9.0,1.0
60.0,51.69637936946891,86.0,2.0,7.0,1.0
27.0,19.49908699392518,102.0,0.0,4.0,1.0
68.0,63.66385184391308,66.0,1.0,7.0,1.0
20.0,68.99919277575361,87.0,1.0,0.0,2.0
29.0,59.76367742472635,41.0,2.0,8.0,2.0
30.0,36.79198961879963,104.0,0.0,7.0,1.0
56.0,58.308518959308714,62.0,0.0,5.0,2.0
61.0,52.63232430799367,53.0,0.0,7.0,1.0
51.0,20.595745507276106,88.0,1.0,0.0,3.0
18.0,68.61784381774612,96.0,1.0,7.0,2.0
55.0,33.98861948820224,33.0,2.0,0.0,3.0
42.0,58.626460028036725,113.0,1.0,3.0,1.0
36.0,50.42618409832783,91.0,1.0,9.0,2.0
42.0,70.21434128123977,13.0,0.0,2.0,2.0
23.0,37.04481719559736,101.0,0.0,2.0,3.0
62.0,42.41580126118119,39.0,1.0,9.0,1.0
21.0,60.337961892094214,29.0,2.0,8.0,2.0
43.0,41.03813002901603,105.0,0.0,7.0,1.0
43.0,71.34762987875936,25.0,2.0,9.0,2.0
43.0,38.641477657708606,110.0,1.0,7.0,2.0
31.0,58.82445691489703,19.0,1.0,6.0,2.0
49.0,49.93869352247085,65.0,0.0,7.0,2.0
65.0,40.141311212717966,99.0,0.0,7.0,1.0
45.0,69.76214982307687,16.0,0.0,9.0,1.0
19.0,34.2050546872652,72.0,0.0,5.0,1.0
58.0,57.971023223626446,71.0,1.0,7.0,3.0
62.0,12.54639071798239,85.0,1.0,1.0,1.0
38.0,54.84240152382762,75.0,0.0,6.0,2.0
63.0,68.33429051534696,90.0,2.0,2.0,2.0
31.0,47.767946752906354,60.0,0.0,7.0,3.0
54.0,53.183970680075376,79.0,0.0,4.0,2.0
19.0,75.58945108654305,57.0,0.0,4.0,3.0
22.0,65.86079502811874,45.0,2.0,2.0,1.0
55.0,16.611211374859018,52.0,0.0,0.0,3.0
19.0,41.83265598995982,6.0,1.0,1.0,2.0
18.0,45.70039211869763,60.0,2.0,1.0,3.0
65.0,54.6853588595285,37.0,1.0,6.0,2.0
39.0,49.04291451005703,54.0,2.0,1.0,1.0
58.0,42.14507612293057,4.0,2.0,6.0,3.0
42.0,41.16354332128134,83.0,0.0,0.0,1.0
63.0,28.412049506682262,47.0,1.0,1.0,2.0
47.0,34.866257928265746,85.0,2.0,6.0,2.0
26.0,62.6094740884909,37.0,1.0,6.0,2.0
54.0,34.276587554851,107.0,2.0,1.0,2.0
64.0,37.966032196413465,82.0,0.0,9.0,2.0
27.0,28.130181463813962,42.0,2.0,6.0,2.0
32.0,55.76193724123927,48.0,1.0,8.0,1.0
66.0,64.4017153134894,100.0,1.0,7.0,1.0
20.0,67.44463526540895,61.0,1.0,5.0,1.0
25.0,44.16100127378377,115.0,1.0,3.0,1.0
42.0,49.031020245650666,62.0,2.0,2.0,3.0
53.0,50.43149322684756,55.0,2.0,7.0,2.0
60.0,43.721646247980985,37.0,2.0,2.0,3.0
68.0,54.94718610028862,15.0,2.0,4.0,3.0
63.0,66.9719573119578,102.0,0.0,2.0,2.0
67.0,64.93581093807647,59.0,2.0,8.0,1.0
38.0,47.48478102751809,63.0,0.0,6.0,3.0
51.0,41.98112346740626,119.0,2.0,2.0,2.0
44.0,32.7156591202082,66.0,2.0,9.0,2.0
26.0,23.94200264267299,42.0,2.0,6.0,3.0
27.0,58.16891080388534,116.0,0.0,3.0,3.0
44.0,49.98786900836851,31.0,2.0,0.0,1.0
42.0,50.12663301314185,6.0,2.0,3.0,2.0
30.0,86.6921365655321,19.0,2.0,9.0,2.0
68.0,73.80908782502692,38.0,1.0,7.0,1.0
21.0,50.646295853162385,79.0,1.0,5.0,3.0
33.0,53.130055444079524,33.0,1.0,0.0,2.0
29.0,33.3623235331024,104.0,0.0,0.0,1.0
42.0,59.68393974625777,90.0,2.0,3.0,2.0
65.0,53.43537623745296,53.0,0.0,5.0,2.0
66.0,36.760445683147026,30.0,2.0,3.0,3.0
33.0,53.7437277780858,75.0,0.0,8.0,2.0
56.0,65.63425838417497,110.0,1.0,1.0,3.0
19.0,81.01508760407901,65.0,2.0,5.0,2.0
26.0,27.309043446458716,14.0,1.0,6.0,2.0
61.0,32.832589900982825,10.0,1.0,3.0,2.0
30.0,48.50297811289505,17.0,2.0,4.0,1.0
31.0,53.45415766711615,75.0,0.0,4.0,3.0
29.0,75.21596070456911,106.0,1.0,1.0,1.0
52.0,68.42607616408148,15.0,1.0,4.0,2.0
39.0,18.894517967160404,76.0,2.0,9.0,3.0
38.0,43.65777488665507,3.0,2.0,4.0,1.0
65.0,27.218977454147392,22.0,0.0,4.0,1.0
67.0,30.422480538523722,114.0,1.0,3.0,3.0
20.0,58.75499285287586,56.0,1.0,9.0,3.0
39.0,52.10086317520545,59.0,0.0,3.0,1.0
26.0,74.89680637135046,26.0,2.0,6.0,3.0
64.0,28.882441755551067,103.0,2.0,5.0,2.0
57.0,49.61979122013667,107.0,2.0,7.0,1.0
59.0,41.88799092656089,50.0,0.0,0.0,3.0
20.0,73.60546374908427,113.0,2.0,9.0,3.0
48.0,36.53148488010727,87.0,2.0,1.0,3.0
54.0,53.24517202006876,80.0,0.0,1.0,2.0
23.0,29.13113396789929,61.0,1.0,1.0,1.0
31.0,71.71624568786899,55.0,1.0,2.0,2.0
36.0,77.55742863747707,64.0,0.0,5.0,3.0
35.0,39.541368777218025,3.0,2.0,2.0,1.0
24.0,37.74023706949028,30.0,2.0,6.0,3.0
53.0,53.95734990631434,58.0,1.0,2.0,1.0
46.0,37.73314133487416,13.0,2.0,5.0,3.0
20.0,67.19790973243195,72.0,1.0,1.0,2.0
30.0,56.843652026803646,24.0,1.0,1.0,2.0
53.0,69.00616292490281,69.0,2.0,2.0,1.0
58.0,33.78666725962604,7.0,1.0,7.0,2.0
42.0,29.363874301063277,51.0,1.0,8.0,1.0
45.0,55.48052239354429,54.0,0.0,1.0,3.0
55.0,75.34555897563754,51.0,2.0,6.0,2.0
28.0,35.96353161443517,27.0,0.0,0.0,3.0
58.0,56.91595191025695,12.0,2.0,3.0,2.0
26.0,40.06133973243972,41.0,2.0,5.0,3.0
39.0,65.87987636657726,119.0,2.0,6.0,2.0
38.0,36.73742548976311,113.0,2.0,2.0,2.0
36.0,54.12557942902543,89.0,1.0,2.0,3.0
50.0,66.8096575659068,106.0,0.0,4.0,2.0
21.0,29.83529805294579,114.0,0.0,2.0,1.0
50.0,59.03390949070259,33.0,1.0,8.0,3.0
62.0,44.63650815861842,79.0,0.0,1.0,1.0
33.0,62.71065895556454,31.0,0.0,9.0,1.0
61.0,55.53453627426276,11.0,2.0,6.0,3.0
18.0,43.73492600018988,36.0,2.0,6.0,1.0
32.0,48.59363927760557,6.0,2.0,2.0,1.0
39.0,22.43850410084262,45.0,2.0,7.0,1.0
49.0,63.05004041092789,60.0,1.0,2.0,1.0
54.0,78.49721720019464,90.0,1.0,4.0,1.0
40.0,41.847576827084325,72.0,1.0,0.0,3.0
50.0,49.432368684989974,103.0,0.0,9.0,3.0
66.0,73.58627132397262,37.0,2.0,3.0,1.0
57.0,23.08381104905325,101.0,0.0,1.0,1.0
39.0,57.554806763977496,112.0,2.0,4.0,1.0
57.0,75.10561303014498,30.0,2.0,3.0,1.0
64.0,40.55251304592717,38.0,0.0,3.0,3.0
29.0,41.87018236806919,16.0,0.0,3.0,3.0
65.0,69.92697897412927,79.0,0.0,4.0,1.0
35.0,33.63160546685835,38.0,1.0,8.0,1.0
49.0,62.92913064318416,53.0,0.0,8.0,3.0
20.0,55.63258041079706,8.0,1.0,3.0,1.0
53.0,67.03007167765449,99.0,0.0,8.0,1.0
64.0,48.08755346913696,9.0,1.0,7.0,1.0
63.0,73.0368175034197,21.0,0.0,4.0,2.0
18.0,44.225649702401185,41.0,1.0,7.0,1.0
42.0,27.896813781828545,69.0,0.0,6.0,1.0
37.0,26.886328373536212,19.0,2.0,1.0,3.0
34.0,33.62475446585433,112.0,0.0,9.0,1.0
66.0,60.144424461114596,80.0,0.0,7.0,1.0
39.0,38.73378911854336,18.0,2.0,8.0,1.0
67.0,49.71655202908909,76.0,2.0,1.0,2.0
50.0,51.36257499807366,80.0,1.0,1.0,3.0
43.0,38.37916032524431,5.0,2.0,9.0,1.0
44.0,52.344761249344415,67.0,1.0,8.0,1.0
51.0,64.11437559787514,71.0,0.0,0.0,3.0
40.0,50.53627419925213,116.0,2.0,2.0,2.0
33.0,63.776902875612876,32.0,1.0,2.0,2.0
31.0,44.342459418688,95.0,0.0,5.0,2.0
