age,monthly_usage,account_duration,payment_history,customer_support_calls,product_tier,churn
53.0,13.654302514976997,67.0,1.0,9.0,2.0,0
31.0,56.43380597271483,89.0,2.0,3.0,1.0,0
48.0,59.163465108511964,89.0,1.0,9.0,3.0,1
65.0,44.72562248208614,76.0,1.0,7.0,2.0,1
32.0,54.431447175826726,93.0,0.0,7.0,2.0,0
25.0,27.27613586944921,11.0,1.0,8.0,3.0,0
31.0,37.98399514400264,116.0,2.0,2.0,2.0,1
40.0,61.48173857648413,11.0,2.0,9.0,3.0,0
57.0,57.668799178093614,113.0,2.0,7.0,1.0,0
38.0,43.82218233432849,26.0,2.0,2.0,3.0,0
33.0,62.17043476107065,53.0,1.0,1.0,3.0,1
62.0,52.074471751998665,14.0,2.0,1.0,3.0,0
35.0,42.436685541167606,64.0,1.0,8.0,1.0,1
64.0,47.25759034095059,80.0,1.0,3.0,3.0,1
41.0,43.168734630326966,10.0,0.0,4.0,3.0,1
43.0,32.243360737722085,31.0,1.0,1.0,1.0,1
42.0,68.85028708853152,95.0,1.0,8.0,2.0,1
62.0,41.47963350061113,36.0,0.0,6.0,2.0,0
58.0,37.51458928554633,10.0,2.0,2.0,3.0,0
46.0,27.059775192299618,26.0,2.0,5.0,1.0,0
32.0,10.460481986163103,20.0,1.0,6.0,1.0,0
62.0,60.522453021784806,44.0,0.0,5.0,3.0,0
18.0,61.90413030554318,62.0,1.0,9.0,3.0,0
42.0,67.89557876892061,73.0,1.0,9.0,2.0,0
24.0,47.76441025744727,79.0,2.0,5.0,2.0,0
26.0,45.17011209059607,9.0,0.0,7.0,3.0,1
41.0,42.38415330045288,71.0,1.0,7.0,1.0,1
18.0,43.751635552426954,90.0,2.0,4.0,3.0,1
61.0,66.7968552611028,24.0,1.0,3.0,1.0,0
25.0,49.602271269065625,12.0,2.0,4.0,2.0,0
41.0,55.67106194002104,60.0,0.0,8.0,3.0,0
28.0,43.369897520593945,84.0,1.0,9.0,1.0,0
68.0,69.8127185933106,78.0,0.0,5.0,2.0,0
34.0,21.42891680847891,86.0,2.0,2.0,3.0,0
25.0,31.692137379229315,16.0,0.0,2.0,3.0,0
52.0,55.69565786351837,29.0,0.0,0.0,2.0,1
52.0,76.25916126846403,32.0,0.0,4.0,3.0,1
50.0,46.623497003618446,83.0,1.0,5.0,2.0,0
22.0,37.36443791408985,119.0,2.0,7.0,1.0,0
59.0,65.00994057737516,35.0,0.0,8.0,3.0,0
56.0,54.85547663022349,43.0,1.0,6.0,2.0,0
58.0,69.35320717991365,96.0,2.0,0.0,2.0,1
45.0,30.644733728834872,119.0,2.0,6.0,1.0,1
24.0,68.17502729016388,53.0,2.0,9.0,3.0,0
26.0,26.773138148475926,20.0,0.0,8.0,2.0,0
25.0,45.67741780767699,115.0,0.0,3.0,2.0,0
29.0,56.1917412923589,104.0,0.0,6.0,2.0,0
51.0,52.79020067298641,84.0,2.0,8.0,3.0,1
50.0,65.90888503973551,8.0,2.0,0.0,3.0,1
65.0,22.600099744861648,99.0,0.0,9.0,1.0,0
40.0,52.11511219548555,42.0,0.0,8.0,1.0,0
41.0,67.99463049175921,77.0,2.0,3.0,1.0,1
54.0,50.889413406081445,105.0,2.0,7.0,3.0,0
52.0,32.86490480349946,70.0,1.0,2.0,2.0,0
61.0,65.1126109223998,111.0,1.0,1.0,3.0,0
57.0,40.27534594784456,16.0,0.0,7.0,3.0,0
39.0,37.63515481905682,69.0,2.0,7.0,3.0,0
44.0,35.7479637067474,53.0,2.0,2.0,1.0,0
52.0,47.01972330576556,45.0,1.0,7.0,2.0,0
18.0,52.74590330559306,51.0,2.0,5.0,3.0,0
52.0,30.96349917945381,98.0,0.0,9.0,1.0,0
54.0,34.04531184905084,6.0,1.0,8.0,3.0,1
64.0,39.58275686206673,33.0,2.0,9.0,2.0,0
31.0,35.675170281700396,79.0,2.0,5.0,1.0,1
20.0,50.551373398241445,15.0,0.0,7.0,3.0,0
18.0,55.41832394601321,14.0,2.0,1.0,1.0,0
22.0,53.358107153998894,39.0,1.0,0.0,2.0,1
43.0,53.37997833121704,63.0,1.0,9.0,2.0,0
31.0,75.06487572932916,5.0,2.0,9.0,1.0,0
56.0,56.35525399440733,116.0,2.0,1.0,3.0,0
44.0,61.75946371833871,90.0,2.0,3.0,2.0,0
26.0,43.78076375334541,112.0,2.0,9.0,2.0,1
32.0,64.16009213992237,81.0,1.0,8.0,3.0,0
32.0,43.064712143100174,107.0,0.0,6.0,1.0,0
43.0,56.171724913828854,111.0,1.0,8.0,1.0,0
59.0,29.42949697726426,52.0,2.0,8.0,3.0,0
30.0,52.493511979821825,16.0,2.0,8.0,2.0,1
68.0,35.369296472459936,99.0,1.0,7.0,2.0,0
49.0,64.04053481725862,38.0,1.0,5.0,3.0,0
56.0,63.138146929981765,53.0,2.0,9.0,3.0,0
66.0,43.00058918661361,87.0,1.0,6.0,1.0,0
69.0,80.7436239293681,77.0,2.0,1.0,1.0,0
49.0,45.711825557097875,97.0,1.0,0.0,3.0,0
21.0,25.819716489912093,93.0,2.0,4.0,2.0,0
47.0,38.3132304445598,53.0,1.0,7.0,1.0,1
54.0,34.337884664632234,46.0,2.0,2.0,3.0,1
40.0,55.69403152679382,98.0,0.0,6.0,2.0,0
56.0,31.469554599913213,98.0,0.0,4.0,1.0,0
62.0,41.911789762906324,91.0,1.0,9.0,3.0,0
32.0,54.71828255805155,15.0,0.0,7.0,3.0,0
60.0,52.07968842067704,59.0,2.0,5.0,2.0,1
46.0,49.81034281487331,50.0,1.0,5.0,2.0,1
53.0,51.89000778566101,9.0,1.0,6.0,3.0,0
30.0,44.442498537385184,26.0,2.0,6.0,2.0,0
49.0,25.943719165005042,3.0,2.0,3.0,3.0,0
24.0,44.04742668883033,100.0,2.0,9.0,2.0,0
68.0,57.03124676472928,47.0,1.0,9.0,2.0,0
39.0,47.94597517085894,5.0,2.0,9.0,1.0,0
45.0,55.87232559695751,62.0,0.0,7.0,1.0,0
19.0,41.19825455735772,84.0,1.0,5.0,2.0,0
59.0,64.91504119816894,84.0,2.0,7.0,3.0,0
62.0,11.655231987929994,5.0,1.0,6.0,2.0,0
23.0,52.12160769385032,10.0,0.0,0.0,1.0,1
45.0,70.23320520681918,80.0,0.0,3.0,3.0,1
45.0,72.46547774062194,63.0,2.0,6.0,2.0,1
61.0,46.52260746136287,25.0,1.0,8.0,2.0,0
61.0,30.10702766535674,44.0,2.0,1.0,2.0,0
37.0,70.49709263515038,25.0,1.0,4.0,2.0,0
47.0,49.22202249791659,30.0,2.0,8.0,1.0,1
28.0,47.61545691095179,14.0,2.0,8.0,1.0,0
45.0,36.60718038683404,86.0,1.0,5.0,1.0,0
42.0,31.251687787126137,43.0,1.0,6.0,1.0,0
56.0,58.457947533865315,28.0,0.0,8.0,3.0,1
50.0,60.04807182137991,94.0,0.0,9.0,3.0,1
18.0,53.02316002699132,19.0,1.0,7.0,3.0,0
44.0,38.53931327609236,102.0,0.0,9.0,2.0,1
69.0,34.02501762336276,42.0,0.0,5.0,3.0,0
30.0,28.516270171701606,20.0,1.0,5.0,1.0,0
58.0,41.5918223588304,99.0,1.0,6.0,1.0,1
20.0,34.91219652876554,86.0,1.0,6.0,2.0,0
56.0,24.36035457063432,79.0,2.0,1.0,3.0,0
23.0,59.77017518529573,11.0,1.0,8.0,2.0,1
25.0,30.21404207772549,54.0,1.0,3.0,2.0,0
44.0,64.75884022146101,98.0,1.0,9.0,3.0,1
26.0,55.91107565170196,24.0,0.0,8.0,2.0,0
54.0,54.41511781427599,70.0,1.0,9.0,3.0,0
50.0,74.97963569090138,17.0,0.0,2.0,3.0,0
68.0,30.712960489032127,28.0,2.0,4.0,2.0,1
59.0,63.10657994073194,50.0,1.0,4.0,1.0,0
61.0,45.535361404678554,95.0,1.0,6.0,3.0,0
41.0,88.56605234944311,100.0,0.0,3.0,1.0,0
32.0,44.288083532911855,55.0,2.0,3.0,1.0,1
49.0,41.86537495811572,73.0,1.0,0.0,3.0,0
49.0,56.383036622858995,10.0,2.0,5.0,1.0,0
41.0,46.86637201687041,21.0,2.0,3.0,2.0,0
58.0,38.623055565501964,58.0,1.0,9.0,2.0,0
69.0,35.44584824096244,34.0,2.0,9.0,1.0,0
66.0,71.87306732581105,95.0,2.0,4.0,2.0,0
66.0,32.548075521500124,93.0,1.0,8.0,3.0,1
69.0,53.3463134057075,107.0,0.0,3.0,3.0,0
29.0,65.84276209439143,43.0,1.0,0.0,1.0,0
56.0,66.56742478163949,11.0,2.0,8.0,2.0,0
19.0,40.9752139672784,33.0,1.0,4.0,1.0,1
20.0,46.90722799061356,58.0,0.0,9.0,2.0,0
66.0,43.99709748478441,46.0,2.0,6.0,3.0,1
54.0,26.974718560011876,61.0,2.0,2.0,2.0,1
66.0,58.06276074530173,62.0,0.0,3.0,2.0,0
34.0,50.577554684522134,1.0,0.0,9.0,1.0,0
66.0,71.60877620902818,21.0,2.0,8.0,3.0,0
19.0,37.651923540478656,62.0,0.0,9.0,2.0,1
19.0,66.33044837926543,64.0,1.0,0.0,3.0,1
45.0,67.38851225426308,87.0,0.0,4.0,2.0,1
40.0,50.70607530211831,73.0,1.0,7.0,3.0,0
54.0,17.437076437494966,56.0,2.0,9.0,2.0,0
49.0,42.31148513833565,1.0,2.0,6.0,3.0,0
50.0,76.78806686456176,21.0,2.0,3.0,2.0,0
18.0,54.455836572378644,22.0,2.0,6.0,3.0,0
36.0,60.40099558807829,54.0,2.0,0.0,2.0,0
19.0,48.66250127547548,4.0,0.0,5.0,2.0,0
61.0,46.64835635205307,65.0,0.0,8.0,3.0,0
43.0,21.989831469507408,51.0,2.0,2.0,1.0,0
49.0,61.9210882558296,74.0,0.0,3.0,2.0,1
23.0,66.19521807083565,63.0,0.0,7.0,2.0,0
49.0,35.73706571799968,15.0,2.0,4.0,1.0,1
21.0,47.31717317737539,116.0,0.0,4.0,2.0,0
28.0,45.29388083968564,36.0,2.0,0.0,3.0,0
34.0,56.302299409794294,29.0,2.0,5.0,1.0,0
55.0,41.83454627736358,52.0,2.0,1.0,2.0,0
41.0,63.97011384774504,46.0,2.0,0.0,3.0,0
22.0,51.069864741867335,69.0,0.0,5.0,3.0,1
69.0,11.758654166229533,29.0,0.0,4.0,1.0,0
51.0,56.64080412788965,111.0,1.0,4.0,1.0,0
23.0,64.94526481386177,47.0,1.0,8.0,1.0,0
39.0,32.71907509602592,91.0,2.0,9.0,3.0,0
28.0,56.130904024618616,25.0,1.0,9.0,2.0,0
65.0,77.44939504631316,80.0,0.0,2.0,3.0,0
33.0,51.68099562767358,16.0,0.0,0.0,3.0,0
50.0,67.12443296494234,100.0,1.0,7.0,1.0,0
26.0,43.367675446452196,89.0,1.0,4.0,2.0,0
23.0,49.730535673142654,41.0,0.0,4.0,3.0,0
33.0,46.93068068110482,65.0,1.0,7.0,1.0,0
46.0,44.19319360478665,69.0,0.0,7.0,1.0,0
20.0,47.78416932375386,105.0,0.0,1.0,2.0,1
37.0,25.539773286135237,20.0,1.0,2.0,2.0,0
53.0,45.036797984250555,69.0,1.0,9.0,1.0,0
36.0,70.06709683140177,36.0,2.0,9.0,2.0,0
43.0,35.5446491472225,93.0,2.0,0.0,2.0,1
20.0,34.00800092790034,112.0,2.0,2.0,3.0,1
36.0,50.918185570921324,98.0,2.0,3.0,2.0,0
37.0,51.667747150358664,58.0,2.0,6.0,1.0,0
49.0,55.66197078580979,48.0,0.0,8.0,2.0,0
24.0,48.29392140223042,82.0,1.0,4.0,3.0,0
69.0,51.077962466875,2.0,0.0,0.0,2.0,0
58.0,44.73672839556501,80.0,2.0,1.0,3.0,0
50.0,30.863057670500538,29.0,2.0,9.0,2.0,0
57.0,48.92912197534024,97.0,1.0,1.0,2.0,0
56.0,60.86895494663696,16.0,0.0,8.0,1.0,1
35.0,57.725819395285015,35.0,2.0,9.0,1.0,0
57.0,23.83636809591069,111.0,2.0,6.0,2.0,0
18.0,53.77888044963624,62.0,2.0,1.0,2.0,0
28.0,36.60845711214246,107.0,2.0,0.0,3.0,1
45.0,70.88246007832073,106.0,0.0,4.0,3.0,0
42.0,54.894046743925706,81.0,0.0,0.0,1.0,0
67.0,63.4442594019591,4.0,2.0,8.0,2.0,1
40.0,50.31752216622289,113.0,0.0,2.0,2.0,0
48.0,49.00917501653784,68.0,2.0,1.0,3.0,0
47.0,72.4376737647987,51.0,1.0,5.0,2.0,0
59.0,64.59161594937524,89.0,1.0,2.0,2.0,1
52.0,51.76787978371322,33.0,1.0,4.0,2.0,1
24.0,47.00500360793903,78.0,0.0,9.0,3.0,1
33.0,24.392379117036953,24.0,2.0,7.0,3.0,1
43.0,54.8685130231121,75.0,1.0,9.0,3.0,0
65.0,48.10844046020428,25.0,1.0,1.0,2.0,1
69.0,58.30934070623414,28.0,0.0,4.0,3.0,0
66.0,62.867282623021794,7.0,0.0,7.0,1.0,1
19.0,68.4938164257087,113.0,1.0,0.0,1.0,0
18.0,55.05489366341607,36.0,2.0,9.0,3.0,1
65.0,34.30459302307692,10.0,2.0,9.0,3.0,0
29.0,17.760296736228,113.0,2.0,3.0,2.0,0
22.0,37.629502094648124,36.0,1.0,4.0,3.0,0
54.0,70.00232749257601,95.0,0.0,9.0,3.0,0
49.0,77.35237203949161,83.0,2.0,2.0,1.0,0
26.0,46.431488723462365,18.0,1.0,1.0,1.0,1
58.0,28.08561118576473,113.0,1.0,2.0,1.0,0
52.0,40.2737963749574,6.0,0.0,4.0,1.0,1
36.0,67.06708734046806,92.0,2.0,6.0,3.0,1
65.0,41.134802397093395,7.0,1.0,1.0,1.0,0
33.0,58.83685921501271,102.0,2.0,6.0,2.0,0
20.0,52.52837451947053,12.0,2.0,5.0,2.0,0
37.0,60.65004888555581,41.0,2.0,6.0,3.0,0
41.0,77.27016498420556,114.0,1.0,6.0,2.0,0
50.0,58.84672213301508,63.0,2.0,8.0,1.0,0
41.0,52.20374414956894,98.0,0.0,6.0,1.0,0
69.0,78.92560348713378,25.0,1.0,5.0,2.0,0
28.0,55.24328152437592,81.0,1.0,9.0,3.0,0
66.0,38.105787540025986,53.0,2.0,7.0,1.0,0
25.0,60.31197934654228,33.0,2.0,6.0,1.0,1
53.0,56.71183313199456,87.0,2.0,5.0,2.0,0
55.0,45.381464865941005,73.0,1.0,3.0,3.0,0
57.0,42.2362092130059,6.0,0.0,6.0,3.0,0
37.0,45.52610769027638,62.0,0.0,7.0,2.0,1
52.0,42.02165963747365,66.0,1.0,7.0,1.0,0
65.0,46.013602719306625,102.0,0.0,3.0,2.0,0
42.0,37.358050966372076,9.0,2.0,9.0,2.0,0
52.0,55.79232032239724,67.0,1.0,8.0,2.0,1
42.0,54.66801970938229,16.0,0.0,2.0,1.0,1
46.0,55.178026658442036,89.0,1.0,8.0,1.0,0
35.0,49.06445990845019,88.0,0.0,2.0,2.0,1
63.0,47.33505115962407,111.0,1.0,6.0,3.0,0
35.0,71.63008696480273,93.0,0.0,3.0,2.0,0
19.0,51.01108830256704,108.0,1.0,4.0,1.0,0
52.0,68.95650269083215,55.0,1.0,2.0,3.0,0
33.0,35.0537602525053,40.0,1.0,1.0,3.0,1
58.0,58.837667513020676,26.0,1.0,7.0,1.0,1
53.0,38.979454450099766,38.0,1.0,6.0,1.0,0
50.0,41.65772107559998,35.0,2.0,6.0,2.0,0
21.0,43.821412401086725,87.0,1.0,7.0,1.0,0
50.0,42.881015470943325,68.0,1.0,0.0,3.0,0
31.0,42.95593015277224,59.0,1.0,7.0,2.0,1
38.0,68.25912634835848,106.0,0.0,9.0,2.0,1
65.0,50.681167596764595,14.0,1.0,4.0,3.0,0
37.0,53.37583083814414,117.0,2.0,7.0,1.0,0
25.0,43.142600546728254,47.0,1.0,8.0,2.0,1
24.0,62.85408955577163,103.0,0.0,1.0,3.0,0
20.0,55.325844173583796,71.0,0.0,2.0,3.0,1
34.0,45.36607033475393,72.0,1.0,5.0,3.0,0
50.0,26.235741610600353,42.0,1.0,8.0,1.0,0
65.0,53.24444687602806,51.0,1.0,9.0,1.0,0
29.0,58.63519283803188,19.0,1.0,9.0,1.0,0
68.0,35.317282425149806,66.0,0.0,7.0,1.0,0
39.0,45.56908071951256,47.0,1.0,5.0,3.0,0
39.0,58.05740752191434,65.0,0.0,4.0,2.0,1
63.0,26.43607914317349,42.0,0.0,2.0,3.0,0
47.0,40.26721724885165,38.0,2.0,3.0,2.0,0
55.0,55.65363412439602,118.0,0.0,6.0,2.0,1
55.0,66.57527658277415,13.0,1.0,6.0,2.0,1
62.0,82.78669718406752,106.0,1.0,2.0,1.0,0
68.0,79.37982152550636,44.0,1.0,3.0,3.0,1
25.0,52.156542234740144,24.0,1.0,2.0,2.0,1
44.0,42.736596777770714,96.0,2.0,1.0,3.0,0
44.0,63.84683401656329,30.0,2.0,5.0,1.0,0
51.0,41.84610614414514,70.0,2.0,6.0,2.0,0
38.0,38.56857072581523,38.0,2.0,3.0,1.0,0
47.0,45.421009214523494,97.0,0.0,4.0,1.0,0
50.0,43.539900497343396,108.0,2.0,7.0,3.0,0
45.0,56.18945934598813,119.0,0.0,8.0,2.0,1
64.0,40.963975667984585,23.0,1.0,6.0,1.0,0
50.0,51.276830859467225,74.0,0.0,9.0,3.0,0
22.0,73.9243017710798,57.0,0.0,0.0,2.0,1
65.0,51.832110711110715,110.0,2.0,2.0,2.0,0
36.0,72.75113432182667,79.0,1.0,4.0,1.0,0
21.0,68.03084901598923,23.0,1.0,2.0,1.0,0
52.0,58.88060355050949,36.0,2.0,0.0,1.0,0
66.0,44.68770815092219,57.0,0.0,1.0,1.0,1
34.0,65.60761966023657,1.0,2.0,7.0,2.0,0
61.0,46.25037622042889,72.0,0.0,6.0,1.0,1
45.0,49.96985517459559,3.0,2.0,9.0,1.0,0
47.0,54.952980112483914,14.0,2.0,2.0,1.0,1
46.0,49.91948791409777,81.0,1.0,3.0,2.0,0
63.0,39.19598422384195,34.0,1.0,2.0,3.0,0
23.0,27.09351627525696,111.0,1.0,3.0,3.0,1
52.0,64.38699395488219,70.0,2.0,7.0,2.0,0
58.0,58.55513190209541,69.0,1.0,8.0,3.0,0
54.0,24.190835112554872,110.0,1.0,6.0,2.0,0
41.0,38.79818975694715,51.0,2.0,8.0,1.0,0
46.0,52.685981439100765,105.0,1.0,8.0,3.0,1
66.0,56.63858530340852,104.0,0.0,6.0,2.0,1
63.0,27.223195115493624,29.0,1.0,6.0,2.0,0
48.0,48.661420001863675,99.0,0.0,7.0,1.0,1
52.0,58.09481892880947,82.0,1.0,9.0,2.0,0
50.0,44.727322971510795,104.0,2.0,2.0,3.0,0
69.0,53.837444726515905,48.0,2.0,7.0,1.0,0
38.0,42.68672176933285,94.0,1.0,0.0,2.0,0
49.0,63.637945275492825,79.0,0.0,5.0,1.0,0
40.0,38.01071429200593,117.0,1.0,1.0,2.0,0
50.0,32.8688264135843,79.0,2.0,6.0,3.0,1
20.0,50.43390296092326,16.0,1.0,2.0,3.0,0
35.0,28.497110415672566,57.0,2.0,9.0,1.0,0
42.0,18.423332179058146,97.0,0.0,4.0,2.0,0
59.0,66.2560294708102,10.0,0.0,9.0,1.0,0
48.0,35.23663277658772,19.0,2.0,1.0,1.0,0
20.0,29.99522626124281,101.0,0.0,0.0,3.0,0
57.0,37.823618345755875,114.0,2.0,4.0,1.0,0
63.0,37.15024052883807,67.0,2.0,8.0,2.0,0
41.0,47.86832808254684,36.0,2.0,8.0,3.0,1
67.0,33.5976989947105,4.0,1.0,6.0,2.0,1
49.0,57.472792133842326,75.0,0.0,8.0,1.0,0
64.0,59.69351196736573,105.0,1.0,3.0,3.0,0
39.0,30.87512824076697,33.0,1.0,2.0,2.0,0
40.0,40.728550655774185,28.0,0.0,3.0,2.0,1
19.0,42.154141399421206,96.0,1.0,6.0,1.0,0
44.0,47.52488957950487,80.0,2.0,7.0,2.0,0
59.0,66.24025275475523,9.0,1.0,1.0,1.0,0
19.0,67.10470122503912,75.0,2.0,4.0,1.0,1
43.0,87.4830107924868,6.0,0.0,4.0,1.0,0
34.0,15.959391062687324,49.0,1.0,8.0,1.0,0
57.0,36.135564152725564,91.0,0.0,2.0,3.0,0
50.0,77.21013771612476,76.0,2.0,5.0,2.0,0
26.0,22.989495233347476,22.0,1.0,9.0,2.0,1
60.0,76.8689759625606,104.0,2.0,4.0,3.0,1
65.0,52.21026909714867,48.0,2.0,1.0,1.0,1
56.0,52.761991595338166,101.0,2.0,1.0,1.0,0
46.0,30.803030208207943,21.0,0.0,3.0,1.0,0
59.0,43.23255169993555,33.0,0.0,3.0,1.0,0
43.0,76.21064539564858,81.0,0.0,6.0,3.0,0
52.0,49.2847529713816,56.0,1.0,0.0,2.0,1
67.0,43.332514576846926,29.0,2.0,5.0,1.0,0
42.0,56.08578794568854,53.0,0.0,8.0,1.0,0
41.0,47.11673599546015,40.0,2.0,1.0,1.0,1
30.0,55.177267247096616,74.0,0.0,4.0,2.0,1
24.0,37.253880017601176,18.0,2.0,9.0,2.0,0
53.0,48.84271027087842,47.0,0.0,9.0,3.0,0
62.0,40.383856018389224,116.0,0.0,3.0,2.0,0
37.0,22.94050038957984,13.0,0.0,3.0,2.0,1
18.0,57.22936680871528,27.0,0.0,7.0,1.0,0
25.0,31.493407376666667,62.0,2.0,5.0,2.0,1
63.0,47.528886048438466,74.0,0.0,6.0,1.0,0
33.0,63.89102368741867,96.0,0.0,8.0,3.0,0
31.0,27.53279815189355,105.0,0.0,2.0,1.0,0
29.0,59.07026145424403,45.0,2.0,1.0,3.0,0
68.0,45.50279814547006,3.0,0.0,2.0,2.0,1
40.0,35.50214898609404,22.0,2.0,7.0,3.0,0
32.0,80.34384933329102,27.0,1.0,8.0,1.0,0
45.0,49.99165556367747,55.0,2.0,9.0,2.0,0
51.0,41.47860665634889,67.0,1.0,4.0,2.0,1
19.0,38.29680616450398,33.0,0.0,7.0,1.0,0
49.0,63.21743702655044,2.0,0.0,6.0,2.0,1
40.0,40.819156603048825,75.0,2.0,8.0,1.0,0
39.0,61.347771478115384,46.0,0.0,3.0,3.0,0
68.0,49.96280253315259,74.0,0.0,9.0,3.0,0
42.0,66.74282096650772,103.0,2.0,2.0,2.0,0
39.0,34.36190828775674,119.0,0.0,8.0,1.0,0
39.0,36.45405141355993,33.0,1.0,7.0,1.0,1
66.0,45.78492028954897,58.0,1.0,6.0,3.0,0
69.0,47.02900253712836,7.0,0.0,0.0,1.0,0
59.0,44.681644569544844,15.0,0.0,1.0,2.0,0
23.0,89.47160608139777,26.0,1.0,8.0,2.0,0
32.0,80.94870506527862,11.0,0.0,4.0,3.0,1
60.0,54.48582612231565,38.0,1.0,0.0,1.0,1
54.0,56.25458111075686,27.0,2.0,8.0,2.0,0
50.0,46.45351729880629,118.0,1.0,0.0,2.0,0
25.0,34.25261699722804,103.0,0.0,7.0,2.0,0
61.0,47.26891639167122,7.0,0.0,4.0,1.0,0
61.0,61.5667662719308,1.0,1.0,5.0,3.0,0
22.0,69.58440142352013,74.0,1.0,0.0,3.0,1
