LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,Ce0tralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,YrSold,SalePrice,SalePriceK,Sold_HigherThan_Median
70,11200,5,5,1965,1965,134,1040,1,1040,0,0,1040,1,0,1,0,3,1,5,0,1965,1,384,1,0,0,0,0,0,0,2008,129500,129.5,Less than median
85,11924,9,5,2005,2006,177,1175,1,1182,1142,0,2324,1,0,3,0,4,1,11,2,2005,3,736,1,147,21,0,0,0,0,2006,345000,345,More than median
-1,12968,5,6,1962,1962,175,912,1,912,0,0,912,1,0,1,0,2,1,4,0,1962,1,352,1,140,0,0,0,176,0,2008,144000,144,Less than median
91,10652,7,5,2006,2007,1494,1494,1,1494,0,0,1494,0,0,2,0,3,1,7,1,2006,3,840,1,160,33,0,0,0,0,2007,279500,279.5,More than median
-1,10920,6,5,1960,1960,520,1253,1,1253,0,0,1253,1,0,1,1,2,1,5,1,1960,1,352,1,0,213,176,0,0,0,2008,157000,157,Less than median
51,6120,7,8,1929,2001,832,832,1,854,0,0,854,0,0,1,0,2,1,5,0,1991,2,576,1,48,112,0,0,0,0,2007,132000,132,Less than median
-1,11241,6,7,1970,1970,426,1004,1,1004,0,0,1004,1,0,1,0,2,1,5,1,1970,2,480,1,0,0,0,0,0,0,2010,149000,149,Less than median
72,10791,4,5,1967,1967,0,0,1,1296,0,0,1296,0,0,2,0,2,2,6,0,1967,2,516,1,0,0,0,0,0,0,2006,90000,90,Less than median
66,13695,5,5,2004,2004,468,1114,1,1114,0,0,1114,1,0,1,1,3,1,6,0,2004,2,576,1,0,102,0,0,0,0,2008,159000,159,Less than median
70,7560,5,6,1958,1965,525,1029,1,1339,0,0,1339,0,0,1,0,3,1,6,0,1958,1,294,1,0,0,0,0,0,0,2009,139000,139,Less than median
101,14215,8,5,2005,2006,1158,1158,1,1158,1218,0,2376,0,0,3,1,4,1,9,1,2005,3,853,1,240,154,0,0,0,0,2006,325300,325.3,More than median
57,7449,7,7,1930,1950,637,637,1,1108,0,0,1108,0,0,1,0,3,1,6,1,1930,1,280,0,0,0,205,0,0,0,2007,139400,139.4,Less than median
75,9742,8,5,2002,2002,1777,1777,1,1795,0,0,1795,0,0,2,0,3,1,7,1,2002,2,534,1,171,159,0,0,0,0,2008,230000,230,More than median
44,4224,5,7,1976,1976,200,1040,1,1060,0,0,1060,1,0,1,0,3,1,6,1,1976,2,572,1,100,110,0,0,0,0,2007,129900,129.9,Less than median
-1,8246,5,8,1968,2001,204,1060,1,1060,0,0,1060,1,0,1,0,3,1,6,1,1968,1,270,1,406,90,0,0,0,0,2010,154000,154,Less than median
110,14230,8,5,2007,2007,1566,1566,1,1600,0,0,1600,0,0,2,0,3,1,7,1,2007,3,890,1,0,56,0,0,0,0,2009,256300,256.3,More than median
60,7200,5,7,1951,2000,180,900,1,900,0,0,900,0,1,1,0,3,1,5,0,2005,2,576,1,222,32,0,0,0,0,2010,134800,134.8,Less than median
98,11478,8,5,2007,2008,486,1704,1,1704,0,0,1704,1,0,2,0,3,1,7,1,2008,3,772,1,0,50,0,0,0,0,2010,306000,306,More than median
47,16321,5,6,1957,1997,207,1484,1,1600,0,0,1600,1,0,1,0,2,1,6,2,1957,1,319,1,288,258,0,0,0,0,2006,207500,207.5,More than median
60,6324,4,6,1927,1950,520,520,0,520,0,0,520,0,0,1,0,1,1,4,0,1920,1,240,1,49,0,87,0,0,0,2008,68500,68.5,Less than median
50,8500,4,4,1920,1950,649,649,0,649,668,0,1317,0,0,1,0,3,1,6,0,1920,1,250,0,0,54,172,0,0,0,2008,40000,40,Less than median
-1,8544,5,6,1966,2006,1228,1228,1,1228,0,0,1228,0,0,1,1,3,1,6,0,1966,1,271,1,0,65,0,0,0,0,2008,149350,149.35,Less than median
85,11049,8,5,2007,2007,1234,1234,1,1234,0,0,1234,0,0,2,0,3,1,7,0,2007,2,484,1,0,30,0,0,0,0,2008,179900,179.9,More than median
70,10552,5,5,1959,1959,380,1398,1,1700,0,0,1700,0,1,1,1,4,1,6,1,1959,2,447,1,0,38,0,0,0,0,2010,165500,165.5,More than median
60,7313,9,5,2005,2005,408,1561,1,1561,0,0,1561,1,0,2,0,2,1,6,1,2005,2,556,1,203,47,0,0,0,0,2007,277500,277.5,More than median
108,13418,8,5,2004,2005,1117,1117,1,1132,1320,0,2452,0,0,3,1,4,1,9,1,2004,3,691,1,113,32,0,0,0,0,2006,309000,309,More than median
112,10859,5,5,1994,1995,1097,1097,1,1097,0,0,1097,0,0,1,1,3,1,6,0,1995,2,672,1,392,64,0,0,0,0,2009,145000,145,Less than median
74,8532,5,6,1954,1990,84,1297,1,1297,0,0,1297,0,1,1,0,3,1,5,1,1954,2,498,1,0,0,0,0,0,0,2009,153000,153,Less than median
68,7922,5,7,1953,2007,326,1057,1,1057,0,0,1057,1,0,1,0,3,1,5,0,1953,1,246,1,0,52,0,0,0,0,2010,109000,109,Less than median
65,6040,4,5,1955,1955,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,2008,82000,82,Less than median
84,8658,6,5,1965,1965,445,1088,1,1324,0,0,1324,0,0,2,0,3,1,6,1,1965,2,440,1,0,138,0,0,0,0,2006,160000,160,Less than median
115,16905,5,6,1959,1959,383,1350,1,1328,0,0,1328,0,1,1,1,2,1,5,2,1959,1,308,1,0,104,0,0,0,0,2007,170000,170,More than median
-1,9180,5,7,1983,1983,0,840,1,884,0,0,884,1,0,1,0,2,1,5,0,1983,2,504,1,240,0,0,0,0,0,2007,144000,144,Less than median
-1,9200,5,6,1975,1980,167,938,1,938,0,0,938,1,0,1,0,3,1,5,0,1977,1,308,1,145,0,0,0,0,0,2008,130250,130.25,Less than median
70,7945,5,6,1959,1959,465,1150,1,1150,0,0,1150,1,0,1,0,3,1,6,0,1959,1,300,1,0,0,0,0,0,0,2006,141000,141,Less than median
61,7658,9,5,2005,2005,1296,1752,1,1752,0,0,1752,1,0,2,0,2,1,6,1,2005,2,576,1,196,82,0,0,0,0,2010,319900,319.9,More than median
48,12822,7,5,2003,2003,83,1434,1,1518,631,0,2149,1,0,1,1,1,1,6,1,2003,2,670,1,168,43,0,0,198,0,2009,239686,239.69,More than median
84,11096,8,5,2006,2006,1632,1656,1,1656,0,0,1656,0,0,2,0,3,1,7,0,2006,3,826,1,0,146,0,0,0,0,2007,249700,249.7,More than median
33,4456,4,5,1920,2008,736,736,1,736,716,0,1452,0,0,2,0,2,3,8,0,0,0,0,0,0,0,102,0,0,0,2009,113000,113,Less than median
66,7742,5,7,1966,1966,192,955,1,955,0,0,955,1,0,1,0,3,1,6,0,1966,1,386,1,0,0,0,0,0,0,2007,127000,127,Less than median
-1,13869,6,6,1997,1997,612,794,1,794,676,0,1470,0,1,2,0,3,1,6,0,1997,2,388,1,0,75,0,0,0,0,2007,177000,177,More than median
52,6240,6,6,1934,1950,816,816,1,816,0,360,1176,0,0,1,0,3,1,6,1,1985,2,528,1,112,0,0,0,0,0,2006,114500,114.5,Less than median
110,8472,5,5,1963,1963,0,816,0,816,0,0,816,1,0,1,0,2,1,5,0,1963,2,516,1,106,0,0,0,0,0,2010,110000,110,Less than median
68,50271,9,5,1981,1987,32,1842,1,1842,0,0,1842,2,0,0,1,0,1,5,1,1981,3,894,1,857,72,0,0,0,0,2006,385000,385,More than median
60,7134,5,5,1955,1955,0,384,1,1360,0,0,1360,0,0,1,0,3,1,6,1,1962,2,572,1,0,50,0,0,0,0,2007,130000,130,Less than median
100,10175,6,5,1964,1964,935,1425,1,1425,0,0,1425,0,0,2,0,3,1,7,1,1964,2,576,1,0,0,0,407,0,0,2008,180500,180.5,More than median
24,2645,8,5,1999,2000,321,970,1,983,756,0,1739,1,0,2,1,3,1,7,0,1999,2,480,1,115,0,0,0,0,0,2009,172500,172.5,More than median
89,11645,7,5,2004,2004,860,860,1,860,860,0,1720,0,0,2,1,3,1,7,0,2004,2,565,1,0,70,0,0,0,0,2006,196500,196.5,More than median
66,13682,10,5,2006,2006,1410,1410,1,1426,1519,0,2945,0,0,3,1,3,1,10,1,2006,3,641,1,192,0,37,0,0,0,2006,438780,438.78,More than median
60,7200,5,7,1972,1972,148,780,1,780,0,0,780,0,0,1,0,2,1,4,0,1973,1,352,1,196,0,0,0,0,0,2008,124900,124.9,Less than median
63,13072,6,5,2004,2004,217,1158,1,1158,0,0,1158,1,0,1,1,3,1,5,0,2006,2,576,1,0,50,0,0,0,0,2006,158000,158,Less than median
60,7200,5,7,1920,1996,530,530,0,581,530,0,1111,0,0,1,0,3,1,6,0,1935,1,288,0,0,0,144,0,0,0,2007,101000,101,Less than median
44,6442,8,5,2006,2006,1346,1370,1,1370,0,0,1370,0,0,2,0,2,1,6,1,2006,2,484,1,120,49,0,0,0,0,2007,202500,202.5,More than median
50,10300,7,6,1921,1950,576,576,1,902,808,0,1710,0,0,2,0,3,1,9,0,1990,2,480,1,12,11,64,0,0,0,2010,140000,140,Less than median
-1,9375,7,5,1997,1998,318,1057,1,1057,977,0,2034,1,0,2,1,3,1,8,0,1998,2,645,1,576,36,0,0,0,0,2009,219500,219.5,More than median
76,9591,8,5,2004,2005,1143,1143,1,1143,1330,0,2473,0,0,2,1,4,1,9,1,2004,3,852,1,192,151,0,0,0,0,2007,317000,317,More than median
-1,19900,7,5,1970,1989,1035,1947,1,2207,0,0,2207,1,0,2,0,3,1,7,1,1970,2,576,1,301,0,0,0,0,0,2010,180000,180,More than median
72,10665,7,5,2003,2003,440,1453,1,1479,0,0,1479,1,0,2,0,3,1,7,0,2003,2,558,1,144,29,0,0,0,0,2007,226000,226,More than median
47,4608,4,6,1945,1950,747,747,1,747,0,0,747,0,0,1,0,2,1,4,0,1945,1,220,1,0,0,0,0,0,0,2010,80000,80,Less than median
81,15593,7,4,1953,1953,701,1304,1,1304,983,0,2287,0,0,2,0,3,1,7,1,1953,2,667,1,0,21,114,0,0,0,2006,225000,225,More than median
95,13651,7,6,1973,1973,343,2223,1,2223,0,0,2223,1,0,2,0,3,1,8,2,1973,2,516,1,300,0,0,0,0,0,2007,244000,244,More than median
69,7599,4,6,1982,2006,280,845,1,845,0,0,845,1,0,1,0,2,1,4,0,1987,2,360,1,0,0,0,0,0,0,2007,129500,129.5,Less than median
74,10141,7,5,1998,1998,832,832,1,885,833,0,1718,0,0,2,1,3,1,7,1,1998,2,427,1,0,94,0,0,291,0,2009,185000,185,More than median
85,10200,5,7,1954,2003,404,1086,1,1086,0,0,1086,1,0,1,0,3,1,6,0,1989,2,490,1,0,0,0,0,0,0,2010,144900,144.9,Less than median
60,5790,3,6,1915,1950,840,840,0,840,765,0,1605,0,0,2,0,3,2,8,0,1915,1,379,1,0,0,202,0,0,0,2010,107400,107.4,Less than median
21,1596,4,5,1973,1973,0,462,1,526,462,0,988,1,0,1,0,2,1,5,0,1973,1,297,1,120,101,0,0,0,0,2009,91000,91,Less than median
-1,8475,4,7,1956,1956,724,952,1,952,0,0,952,0,0,1,0,2,1,4,0,1956,1,283,1,0,0,0,0,0,0,2008,135750,135.75,Less than median
50,8635,5,5,1948,2001,295,672,1,1072,213,0,1285,1,0,1,0,2,1,6,0,1948,1,240,1,0,0,0,0,0,0,2008,127000,127,Less than median
72,10778,4,5,1968,1968,1768,1768,0,1768,0,0,1768,0,0,2,0,4,2,8,0,0,0,0,1,0,0,0,0,0,0,2010,136500,136.5,Less than median
60,10440,5,6,1910,1981,440,440,1,682,548,0,1230,0,0,1,1,2,1,5,0,1966,2,440,1,74,0,128,0,0,0,2009,110000,110,Less than median
100,13000,6,6,1968,1968,448,896,1,1182,960,0,2142,0,0,2,1,4,1,8,1,1968,1,509,1,0,72,0,0,252,0,2009,193500,193.5,More than median
32,4500,6,5,1998,1998,36,1237,1,1337,0,0,1337,1,0,2,0,2,1,5,0,1998,2,405,1,0,199,0,0,0,0,2006,153500,153.5,Less than median
78,10206,8,5,2007,2007,1530,1563,1,1563,0,0,1563,0,0,2,0,3,1,6,1,2007,3,758,1,144,99,0,0,0,0,2008,245000,245,More than median
80,8892,5,5,1960,1960,1065,1065,1,1065,0,0,1065,0,0,1,1,3,1,6,0,1974,2,461,1,74,0,0,0,0,0,2007,126500,126.5,Less than median
-1,8530,7,5,1995,1996,384,384,1,804,670,0,1474,0,0,2,1,3,1,7,1,1995,2,400,1,120,72,0,0,0,0,2009,168500,168.5,More than median
121,16059,8,5,1991,1992,1288,1288,1,1301,1116,0,2417,0,0,2,1,4,1,9,1,1991,2,462,1,127,82,0,0,0,0,2006,260000,260,More than median
122,11911,6,5,2005,2005,684,684,1,684,876,0,1560,0,0,2,1,3,1,6,1,2005,2,400,1,100,38,0,0,0,0,2009,174000,174,More than median
40,3951,6,5,2009,2009,612,612,1,612,612,0,1224,0,0,2,1,2,1,4,0,2009,2,528,1,0,234,0,0,0,0,2009,164500,164.5,More than median
105,8470,3,2,1915,1982,1013,1013,0,1013,0,513,1526,0,0,1,0,2,1,6,0,0,0,0,0,0,0,156,0,0,0,2009,85000,85,Less than median
60,8070,4,5,1994,1995,402,990,1,990,0,0,990,1,0,1,0,3,1,5,0,0,0,0,1,0,0,0,0,0,0,2007,123600,123.6,Less than median
60,7200,4,5,1950,1950,0,0,1,1040,0,0,1040,0,0,1,0,2,1,4,0,1950,2,420,1,0,29,0,0,0,0,2006,109900,109.9,Less than median
85,8500,5,3,1961,1961,635,1235,1,1235,0,0,1235,0,0,1,0,2,1,6,0,1961,2,480,1,0,0,0,0,0,0,2006,98600,98.6,Less than median
80,13360,5,7,1921,2006,163,876,1,964,0,0,964,1,0,1,0,2,1,5,0,1921,2,432,1,0,0,44,0,0,0,2009,163500,163.5,More than median
60,7200,6,6,1910,1998,168,1214,0,1260,1031,0,2291,0,1,2,0,4,2,9,1,1900,2,506,1,0,0,0,0,99,0,2007,133900,133.9,Less than median
69,9337,6,5,1997,1997,176,824,1,905,881,0,1786,1,0,2,1,3,1,7,0,1997,2,684,1,0,162,0,0,0,0,2007,204750,204.75,More than median
-1,9765,6,8,1993,1993,370,680,1,680,790,0,1470,0,0,2,1,3,1,6,1,1993,2,420,1,232,63,0,0,0,0,2009,185000,185,More than median
78,10264,7,5,1999,1999,426,1588,1,1588,0,0,1588,0,0,2,0,3,1,6,0,1999,2,472,1,158,29,0,0,0,0,2006,214000,214,More than median
73,10921,4,5,1965,1965,440,960,1,960,0,0,960,1,0,1,0,3,1,6,0,1965,1,432,1,120,0,0,0,0,0,2007,94750,94.75,Less than median
85,10625,5,5,1920,1950,350,458,0,835,0,0,835,0,0,1,0,2,1,5,0,1920,1,366,1,0,0,77,0,0,0,2010,83000,83,Less than median
77,9320,4,5,1959,1959,381,950,1,1225,0,0,1225,1,0,1,1,3,1,6,0,0,0,0,1,352,0,0,0,0,0,2010,128950,128.95,Less than median
-1,10603,6,7,1977,2001,410,1610,1,1610,0,0,1610,1,0,2,0,3,1,6,2,1977,2,480,1,168,68,0,0,0,0,2010,205000,205,More than median
77,9206,6,5,1985,1985,741,741,1,977,755,0,1732,0,0,2,1,3,1,7,1,1985,2,476,1,192,46,0,0,0,0,2010,178000,178,More than median
64,7018,5,5,1979,1979,0,0,1,1535,0,0,1535,0,0,2,0,4,2,8,0,1979,2,410,1,0,0,0,0,0,0,2009,118964,118.96,Less than median
94,10402,7,5,2009,2009,1226,1226,1,1226,0,0,1226,0,0,2,0,3,1,6,0,2009,3,740,1,0,36,0,0,0,0,2010,198900,198.9,More than median
-1,7758,7,4,1931,1950,816,1040,1,1226,592,0,1818,0,0,1,1,4,1,7,2,1951,1,240,1,0,0,0,0,184,0,2007,169500,169.5,More than median
75,9375,8,5,2003,2004,1053,1053,1,1053,939,0,1992,0,0,2,1,3,1,9,1,2003,2,648,1,140,45,0,0,0,0,2008,250000,250,More than median
60,10800,4,7,1885,1995,641,641,1,1047,0,0,1047,0,0,1,0,2,1,6,0,1954,1,273,0,0,0,0,0,0,0,2007,100000,100,Less than median
50,6000,5,5,1948,1950,516,789,1,789,0,0,789,0,0,1,0,2,1,5,0,1948,1,250,1,0,0,0,0,0,0,2008,115000,115,Less than median
85,8500,5,7,1919,2005,793,793,0,997,520,0,1517,0,0,2,0,3,1,7,0,0,0,0,0,0,0,144,0,0,0,2007,115000,115,Less than median
105,11751,6,6,1977,1977,1139,1844,1,1844,0,0,1844,0,0,2,0,3,1,7,1,1977,2,546,1,0,122,0,0,0,0,2010,190000,190,More than median
75,9525,6,4,1954,1972,550,994,1,1216,639,0,1855,0,0,2,0,4,1,7,0,1954,1,325,1,182,0,0,0,0,0,2006,136900,136.9,Less than median
-1,7750,7,5,2000,2000,134,384,1,774,656,0,1430,0,0,2,1,3,1,7,1,2000,2,400,1,180,0,0,0,0,0,2010,180000,180,More than median
77,9965,7,5,2007,2007,280,1264,1,1282,1414,0,2696,1,0,2,1,4,1,10,1,2007,3,792,1,120,184,0,0,168,0,2007,383970,383.97,More than median
-1,21000,6,5,1953,1953,905,1809,1,2259,0,0,2259,1,0,2,0,3,1,7,2,1953,2,450,1,166,120,192,0,0,0,2007,217000,217,More than median
61,7259,6,8,1945,2002,104,1028,1,1436,884,0,2320,1,0,2,1,3,1,9,1,1945,1,180,1,224,0,0,0,0,0,2007,259500,259.5,More than median
34,3230,6,5,1999,1999,310,729,1,729,729,0,1458,0,0,2,1,2,1,5,1,1999,2,440,1,0,32,0,0,0,0,2007,176000,176,More than median
-1,11616,5,5,1962,1962,252,1092,1,1092,0,0,1092,0,1,1,0,3,1,6,1,1962,1,288,1,0,20,144,0,0,0,2009,139000,139,Less than median
74,8536,5,5,2006,2007,1125,1125,1,1125,0,0,1125,0,0,1,1,2,1,5,0,2007,2,430,1,80,64,0,0,0,0,2007,155000,155,Less than median
90,12376,7,5,1990,1990,203,1673,1,1699,1523,0,3222,1,0,3,0,5,1,11,2,1990,3,594,1,367,0,0,0,0,0,2010,320000,320,More than median
65,8461,6,5,2005,2006,728,728,1,728,728,0,1456,0,0,2,1,3,1,8,1,2005,2,390,1,0,24,0,0,0,0,2006,163990,163.99,More than median
-1,21453,6,5,1969,1969,0,938,1,988,0,0,988,1,0,1,0,1,1,4,2,1969,2,540,1,0,130,0,130,0,0,2006,180000,180,More than median
50,6060,4,5,1939,1950,732,732,1,772,351,0,1123,0,0,1,0,3,1,4,0,1979,1,264,1,0,0,140,0,0,0,2007,100000,100,Less than median
75,9464,6,7,1958,1958,510,1080,1,1080,0,0,1080,0,0,1,0,3,1,5,0,1958,1,288,1,0,0,0,0,130,0,2008,136000,136,Less than median
55,7892,6,5,1993,1993,899,1199,1,1199,0,0,1199,0,0,2,0,2,1,5,0,1993,2,530,1,0,63,0,0,0,0,2008,153900,153.9,Less than median
48,17043,6,5,1979,1998,1362,1362,1,1586,0,0,1586,0,0,2,0,3,1,7,1,1979,2,435,1,192,0,0,0,0,0,2009,181000,181,More than median
60,6780,6,8,1935,1982,30,520,0,520,0,234,754,1,0,1,0,2,1,5,0,0,0,0,0,53,0,0,0,0,0,2006,84500,84.5,Less than median
-1,4928,6,5,1976,1976,958,1078,1,958,0,0,958,0,0,2,0,2,1,5,1,1977,2,440,1,0,205,0,0,0,0,2007,128000,128,Less than median
55,4388,5,7,1930,1950,556,672,1,840,0,0,840,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,0,0,2007,87000,87,Less than median
69,7590,6,5,1966,1966,148,660,1,660,688,0,1348,0,0,1,1,3,1,6,1,1966,2,453,1,188,108,0,0,0,0,2006,155000,155,Less than median
69,8973,5,7,1958,1991,413,1008,1,1053,0,0,1053,0,1,1,1,3,1,6,0,1998,2,750,1,0,80,0,180,0,0,2006,150000,150,Less than median
88,14200,7,6,1966,1966,479,924,1,1216,941,0,2157,0,0,2,1,4,1,8,2,1966,2,487,1,105,66,0,0,0,0,2006,226000,226,More than median
-1,12224,6,5,2000,2000,297,992,1,1022,1032,0,2054,1,0,2,1,3,1,7,1,2000,2,390,1,24,48,0,0,0,0,2009,244000,244,More than median
75,7388,5,6,1959,2002,658,1063,1,1327,0,0,1327,1,0,1,0,3,1,7,0,1974,2,624,1,0,0,0,0,0,0,2007,150750,150.75,Less than median
-1,6853,8,5,2001,2002,262,1267,1,1296,0,0,1296,1,0,2,0,2,1,6,0,2001,2,471,1,192,25,0,0,0,0,2009,220000,220,More than median
78,10335,5,6,1968,1993,891,1461,1,1721,0,0,1721,0,0,2,1,3,1,7,1,1968,2,440,1,0,96,180,0,0,0,2006,180000,180,More than median
80,10400,7,6,1970,1970,1304,1304,1,1682,0,0,1682,0,0,2,0,3,1,7,1,1970,2,530,1,98,0,0,0,0,0,2008,174000,174,More than median
-1,10355,5,5,1967,1967,519,1214,1,1214,0,0,1214,0,0,2,0,3,1,5,1,1967,1,318,1,0,111,0,0,0,0,2007,143000,143,Less than median
82,11070,7,5,1988,1989,1907,1907,1,1959,0,0,1959,0,0,3,0,5,2,9,0,1989,3,766,1,0,0,0,0,0,0,2006,171000,171,More than median
73,9066,8,5,1999,2000,336,1004,1,1004,848,0,1852,0,0,2,1,3,1,7,2,1999,3,660,1,224,106,0,0,0,0,2008,230000,230,More than median
65,15426,6,5,1997,1997,107,928,1,928,836,0,1764,1,0,2,1,3,1,7,0,1997,2,470,1,276,99,0,0,0,0,2009,231500,231.5,More than median
70,10500,4,5,1971,1971,432,864,1,864,0,0,864,0,0,1,0,3,1,5,1,0,0,0,1,0,0,0,0,0,0,2010,115000,115,Less than median
78,11645,7,5,2005,2005,434,1734,1,1734,0,0,1734,1,0,2,0,3,1,7,0,2005,2,660,1,160,24,0,0,0,0,2006,260000,260,More than median
71,8520,5,4,1952,1952,403,910,1,910,475,0,1385,0,0,2,0,4,1,6,0,2000,2,720,1,0,0,0,0,0,0,2010,166000,166,More than median
78,10335,7,5,1999,1999,811,1490,1,1501,0,0,1501,1,0,2,0,3,1,6,0,1999,2,577,1,144,29,0,0,0,0,2009,204000,204,More than median
70,9100,5,5,1963,1963,396,1728,1,1728,0,0,1728,1,0,2,0,6,2,10,0,1963,2,504,1,0,0,0,0,0,0,2006,125000,125,Less than median
24,2522,6,5,2004,2006,970,970,1,970,739,0,1709,0,0,2,0,3,1,7,0,2004,2,380,1,0,40,0,0,0,0,2006,130000,130,Less than median
51,6120,5,7,1931,1993,506,715,1,875,0,0,875,1,0,1,0,2,1,5,0,1931,1,180,1,48,0,0,0,0,0,2009,105000,105,Less than median
-1,9505,7,5,2001,2001,884,884,1,884,1151,0,2035,0,0,2,1,3,1,8,1,2001,2,434,1,144,48,0,0,0,0,2010,222500,222.5,More than median
63,7500,7,5,2004,2005,400,1080,1,1080,0,0,1080,1,0,1,0,3,1,6,0,0,0,0,1,0,0,0,0,0,0,2008,141000,141,Less than median
-1,6240,5,4,1936,1950,896,896,1,896,448,0,1344,0,0,1,0,3,1,7,0,1936,1,240,1,200,114,0,0,0,0,2006,115000,115,Less than median
120,10356,5,6,1975,1975,253,969,1,969,0,0,969,0,0,1,1,3,1,5,0,1975,2,440,1,0,0,0,0,0,0,2007,122000,122,Less than median
107,13891,8,5,2007,2008,310,1710,1,1710,0,0,1710,1,0,2,0,2,1,6,1,2007,3,866,1,0,102,0,0,0,0,2008,372402,372.4,More than median
-1,14803,6,5,1971,1971,409,825,1,1097,896,0,1993,0,0,2,1,4,1,8,1,1971,2,495,1,0,66,0,0,0,0,2006,190000,190,More than median
-1,13500,6,7,1960,1975,93,1602,1,1252,0,0,1252,1,0,1,0,1,1,4,1,1960,2,564,1,409,0,0,0,0,0,2008,235000,235,More than median
84,11340,6,5,1923,1950,1200,1200,1,1200,0,0,1200,0,0,1,0,4,1,7,0,1923,1,312,1,0,0,228,0,0,0,2006,125000,125,Less than median
60,9600,6,5,1924,1950,572,572,0,572,524,0,1096,0,0,1,0,2,1,5,0,0,0,0,0,0,8,128,0,0,0,2008,79000,79,Less than median
60,7200,5,7,1950,1950,0,0,1,1040,0,0,1040,0,0,1,0,2,1,5,0,1950,2,625,1,0,0,0,0,0,0,2006,109500,109.5,Less than median
92,12003,8,5,2009,2010,774,774,1,774,1194,0,1968,0,0,2,1,4,1,8,1,2009,3,680,1,0,75,0,0,0,0,2010,269500,269.5,More than median
100,12552,7,5,2004,2005,769,991,1,991,956,0,1947,0,0,2,1,3,1,8,1,2004,2,678,1,0,136,0,0,0,0,2010,254900,254.9,More than median
134,19378,7,5,2005,2006,1335,1392,1,1392,1070,0,2462,1,0,2,1,4,1,9,1,2006,2,576,1,239,132,0,168,0,0,2006,320000,320,More than median
-1,11120,6,6,1984,1984,572,1232,1,1232,0,0,1232,0,0,2,0,3,1,6,0,1984,2,516,1,0,0,0,0,0,0,2008,162500,162.5,Less than median
110,13688,9,5,2003,2004,556,1572,1,1572,1096,0,2668,1,0,2,1,3,1,10,2,2003,3,726,1,400,0,0,0,0,0,2008,412500,412.5,More than median
95,12182,7,5,2005,2005,340,1541,1,1541,0,0,1541,0,0,2,0,3,1,7,1,2005,2,532,1,0,70,0,0,0,0,2010,220000,220,More than median
55,5500,4,6,1956,1956,882,882,1,882,0,0,882,0,0,1,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,2007,103200,103.2,Less than median
