Gender,Loan_Requirement (in 1000$),Loan_Tenure,Home_Ownership,Income (in 1000$),Employment_Tenure,Credit_score,Age,Credit_Utlization,Active_Credit_balance (in 1000$),Open_CreditAcc,Income_to_debt_ratio,Pre-Approved,LoanStatus
Female,64,17,1,2000,1,260,67,32,48,5,35,0,False
Female,87,17,1,3000,1,500,62,37,47,7,28,0,False
Male,24,14,0,22,7,855,24,29,10,2,65,1,True
Male,52,8,1,27,33,890,31,5,12,3,85,1,True
Female,36,17,0,8,0,355,73,72,36,7,24,0,False
Female,41,20,0,24,2,390,74,62,41,5,26,0,False
Male,38,13,1,9,12,670,31,19,7,2,83,1,True
Female,53,15,0,17,1,460,66,66,39,7,10,0,False
Male,68,23,1,4000,1,250,74,40,36,6,40,0,False
Male,21,8,1,77,34,905,42,28,8,1,87,1,True
Male,18,7,1,11,5,850,53,26,10,3,77,1,True
Male,18,9,1,88,14,830,40,3,8,1,93,1,True
Female,71,20,0,4000,0,155,71,52,42,5,34,0,False
Female,29,7,1,6,37,735,36,10,6,1,77,1,True
Female,33,11,0,17,22,955,33,19,17,1,81,1,True
Male,25,8,1,44,26,780,52,15,19,3,87,1,True
Male,59,9,0,35,14,900,50,12,12,1,70,1,True
Female,53,24,0,2000,0,365,73,34,44,7,11,0,False
Female,19,7,1,32,11,950,50,21,6,2,60,1,True
Female,87,16,0,3000,1,105,63,56,30,7,26,0,False
Female,60,23,0,3000,0,235,69,54,45,6,41,0,False
Female,74,24,1,4000,1,210,69,47,39,5,14,0,False
Male,29,12,0,23,18,900,33,8,17,0,52,1,True
Male,52,14,1,49,29,780,50,12,12,3,88,1,True
Male,11,12,1,57,40,900,41,15,5,0,87,0,False
Male,12,7,1,54,30,845,44,27,6,1,80,1,True
Male,32,12,0,14,18,755,53,13,6,1,89,1,True
Female,53,17,0,16,1,440,65,63,32,6,15,0,False
Male,12,6,1,65,21,885,41,7,6,0,83,1,True
Male,31,14,1,21,35,680,51,19,19,2,64,1,True
Male,24,5,1,97,17,860,32,28,7,1,95,1,True
Female,78,17,0,4000,1,345,67,34,28,7,38,0,False
Male,19,7,1,83,28,825,45,1,6,1,83,1,True
Male,10,5,1,52,22,915,37,10,8,0,81,1,True
Male,46,5,0,18,24,995,25,23,17,0,73,1,True
Female,19,5,1,10,16,900,27,0,11,7,72,1,True
Female,69,16,0,2000,1,180,69,45,47,6,40,0,False
Female,37,21,0,4,3,390,67,60,29,7,29,0,False
Female,56,21,1,2000,0,275,74,58,43,6,30,0,False
Male,48,5,0,11,32,845,35,24,17,1,88,1,True
Male,62,16,1,22000,1,275,68,35,27,6,10,0,False
Female,49,12,0,7,8,910,23,26,15,3,74,1,True
Male,75,16,1,4000,0,115,73,31,39,5,21,0,False
Male,76,16,1,4000,1,320,74,52,43,6,10,0,False
Female,58,5,1,20,30,670,40,11,10,1,86,1,True
Male,16,9,1,67,20,865,41,1,6,0,83,1,True
Male,7,9,1,7,34,960,31,15,19,0,55,1,True
Female,50,16,1,4000,1,325,71,33,36,7,49,0,False
Male,71,18,1,73,28,790,67,38,19,0,51,1,True
Male,16,6,1,69,14,985,22,29,9,0,93,1,True
Female,52,24,1,2000,0,290,61,45,38,7,34,0,False
Male,87,15,0,3001,6,448,74,55,48,6,36,1,True
Female,11,9,1,27,11,750,48,24,11,1,87,1,True
Female,77,24,0,67,36,764,74,45,17,7,70,0,False
Female,56,18,0,3000,1,215,72,50,42,5,30,0,False
Male,27,9,1,17,32,720,26,28,9,0,76,1,True
Female,38,24,0,12,3,490,74,82,33,7,20,0,False
Male,75,18,1,96,23,880,64,36,15,3,87,1,True
Female,56,7,1,9,32,675,36,11,19,2,86,1,True
Female,45,19,0,10,2,450,73,57,40,7,27,0,False
Male,33,6,0,94,28,765,64,30,13,2,67,1,True
Male,16,13,1,20,24,860,52,19,16,0,62,1,True
Male,56,11,1,15,6,680,34,7,13,2,61,1,True
Male,10,6,1,17,13,990,20,25,16,3,82,1,True
Female,48,19,0,16,2,420,70,63,32,5,19,0,False
Female,66,20,1,3000,1,380,66,37,35,7,27,0,False
Male,11,9,1,24,29,950,51,15,12,0,62,1,True
Male,19,9,1,98,14,885,29,10,6,1,94,1,True
Male,80,19,0,3000,1,465,67,50,31,7,21,0,False
Male,46,12,1,24,28,980,40,7,13,1,84,1,True
Female,84,15,0,2000,1,270,63,57,45,7,30,0,False
Male,24,9,1,4000,1,165,49,16,48,7,20,0,False
Male,23,5,1,54,11,950,31,18,7,0,81,1,True
Female,41,17,0,22,4,315,66,75,49,6,27,0,False
Male,96,15,1,3000,1,230,65,36,22,7,21,0,False
Male,17,6,1,64,13,930,42,1,6,1,92,1,True
Male,96,20,0,3000,0,380,60,47,36,7,31,0,False
Male,18,5,1,53,19,930,32,19,8,1,88,1,True
Male,98,21,0,2000,1,405,53,9,41,7,49,0,False
Female,44,16,0,7,1,395,66,70,42,6,25,0,False
Female,84,21,0,3000,0,540,66,53,30,7,10,0,False
Female,56,19,0,14000,1,140,62,47,42,5,32,0,False
Female,50,21,1,11000,0,185,69,56,43,6,46,0,False
Female,90,18,1,4000,0,375,71,46,43,7,28,0,False
Female,52,15,1,8000,0,250,73,44,47,7,46,0,False
Female,51,24,0,19,2,405,73,82,51,5,19,0,False
Male,51,12,1,6,7,755,48,22,17,2,60,1,True
Male,52,7,1,24,25,705,51,28,8,0,66,1,True
Female,51,20,0,4000,0,290,63,56,34,6,32,0,False
Female,50,22,0,7,0,410,74,69,47,7,12,0,False
Female,39,20,0,8,4,340,74,81,47,6,26,0,False
Female,73,17,1,2000,0,205,62,58,24,6,31,0,False
Female,38,21,0,8,2,475,74,50,34,7,17,0,False
Female,14,9,1,20,31,775,53,6,14,2,84,1,True
Male,59,6,1,11,30,680,23,20,15,2,52,1,True
Male,62,19,0,4000,0,180,63,52,26,7,28,0,False
Female,46,15,0,12,0,325,69,74,53,7,26,0,False
Female,92,23,1,3000,0,340,35,28,23,7,29,0,False
Male,20,10,0,16,9,730,31,29,9,1,62,1,True
Male,40,5,1,7,28,830,45,18,10,3,88,1,True
Male,21,5,1,77,23,960,25,4,6,1,80,1,True
Female,37,16,0,7,2,435,68,58,52,7,14,0,False
Female,56,12,1,11,16,800,51,12,15,1,73,1,True
Female,70,22,0,3000,1,420,71,42,47,7,37,0,False
Female,95,23,1,4000,1,355,66,53,49,7,36,0,False
Female,75,17,1,67,10,710,70,54,17,0,88,1,True
Male,37,6,0,20,18,800,50,29,10,3,68,1,True
Female,61,17,1,2000,0,545,73,45,44,7,28,0,False
Male,19,11,0,95,29,715,61,48,11,1,73,1,True
Female,38,19,0,3,2,440,67,72,31,6,18,0,False
Male,55,24,0,94,17,665,70,44,15,0,71,1,True
Female,93,22,0,2000,0,505,54,11,37,6,35,0,False
Female,43,23,0,20,3,325,68,70,34,7,11,0,False
Male,23,6,0,10,21,815,23,11,13,2,77,1,True
Male,33,9,0,27,31,765,33,10,7,0,74,1,True
Female,61,24,0,2000,0,545,64,52,23,5,25,0,False
Female,37,15,0,8,0,455,70,78,35,5,24,0,False
Male,47,11,1,17,29,940,45,14,7,0,69,1,True
Male,99,22,0,3000,0,205,74,58,35,7,37,0,False
Female,19,14,0,23,13,695,52,22,5,3,82,1,True
Male,51,21,0,4000,0,130,63,48,27,7,23,0,False
Female,26,11,0,40,17,900,47,20,8,3,86,1,True
Male,57,18,0,4000,1,250,73,36,41,5,48,0,False
Male,41,12,0,16,14,710,22,14,7,3,87,1,True
Female,13,8,1,4000,1,420,46,29,49,7,46,0,False
Female,52,15,0,14,3,370,72,81,32,7,13,0,False
Female,54,21,0,2000,1,455,70,54,48,5,40,0,False
Female,43,18,0,2,2,365,69,81,54,5,25,0,False
Female,50,5,0,5,39,664,30,10,17,0,77,1,True
Female,41,16,0,12,4,350,71,75,39,7,21,0,False
Male,20,9,1,85,15,995,41,8,9,1,94,1,True
Male,41,11,1,7,27,870,40,19,16,1,83,1,True
Female,98,15,0,2000,1,205,65,38,33,6,40,0,False
Male,44,9,1,50,28,955,69,40,16,0,83,1,True
Female,45,19,0,23,4,410,72,67,45,5,16,0,False
Female,58,16,1,3000,1,130,68,32,36,5,30,0,False
Male,12,8,1,61,30,805,28,23,5,0,93,1,True
Male,23,8,1,82,36,960,35,4,8,1,99,1,True
Female,86,15,0,3000,0,425,72,37,35,5,11,0,False
Female,94,19,0,8000,0,335,60,47,27,5,46,0,False
Female,60,19,1,4000,1,480,60,39,32,7,44,0,False
Female,96,19,0,20000,1,400,74,38,41,6,17,0,False
Female,68,21,0,4000,1,475,61,57,39,5,48,0,False
Female,97,15,0,4000,0,445,66,51,37,5,33,0,False
Male,20,6,1,69,17,975,47,16,9,0,88,1,True
Female,63,19,0,2000,0,125,74,32,27,5,10,0,False
Male,54,11,1,16,25,950,40,6,18,1,62,1,True
Male,11,8,1,51,12,975,33,20,5,1,85,1,True
Female,36,16,0,17,3,390,73,80,28,7,11,0,False
Male,87,21,0,2000,1,305,68,31,47,6,17,0,False
Female,88,17,0,4000,1,285,66,55,29,5,31,0,False
Female,31,12,1,15,19,940,26,10,10,1,78,1,True
Male,57,12,1,9,17,895,54,13,9,1,80,1,True
Male,22,11,1,16,24,810,41,6,14,1,63,1,True
Male,12,8,1,63,23,810,44,29,9,1,91,1,True
Male,32,8,1,9,22,845,37,17,5,1,58,1,True
Male,21,5,1,82,12,800,36,28,8,0,83,1,True
Male,20,7,1,99,11,955,47,14,9,1,92,1,True
Female,56,20,1,22000,1,450,69,39,24,7,34,0,False
Female,87,17,1,8000,0,335,68,50,49,6,13,0,False
Female,32,12,1,19,36,845,47,27,10,1,62,1,True
Male,88,24,0,19000,1,290,62,58,29,5,10,0,False
Female,53,23,0,22,0,430,74,64,47,7,20,0,False
Female,30,6,0,12,7,870,35,24,13,3,73,1,True
Female,48,7,1,2000,1,490,23,27,26,5,34,0,False
Male,24,7,0,42,15,860,38,23,14,2,83,1,True
Female,42,18,0,14,4,350,70,59,40,5,22,0,False
Female,27,14,1,88,28,895,73,56,8,0,89,1,True
Male,54,14,1,6,25,660,33,5,19,0,78,1,True
Male,23,6,0,12,23,850,26,17,7,2,84,1,True
Male,47,8,1,2000,1,290,22,18,41,6,49,0,False
Female,92,17,0,17000,0,310,67,43,45,7,19,0,False
Male,64,23,1,50,9,805,61,48,5,2,54,1,True
Female,59,13,0,5,23,905,40,20,7,0,67,1,True
Male,17,14,0,8,6,945,27,13,15,2,70,1,True
Male,13,12,1,36,30,805,30,18,12,1,60,1,True
Female,80,15,0,4000,1,320,37,20,27,6,20,0,False
Male,17,5,1,53,24,855,44,20,6,0,87,1,True
Male,10,5,1,68,31,905,41,25,6,0,98,1,True
Male,59,5,1,52,19,975,60,32,9,0,72,1,True
Male,21,5,1,14,27,745,45,25,15,0,84,1,True
Female,36,18,0,14,3,415,66,75,45,5,25,0,False
Male,12,6,1,95,37,860,21,26,7,1,80,1,True
Male,14,7,1,98,25,830,37,10,9,0,84,1,True
Male,76,19,1,56,36,905,73,37,17,0,58,1,True
Male,27,8,1,17,19,800,22,24,9,2,87,1,True
Female,83,23,0,2000,1,130,73,34,35,7,38,0,False
Male,55,9,1,58,31,695,72,45,10,1,50,1,True
Male,75,21,1,2000,0,170,63,39,45,7,46,0,False
Female,88,15,0,4000,1,315,70,50,27,6,18,0,False
Female,50,15,0,16,3,345,67,78,51,6,25,0,False
Female,81,16,1,4000,1,130,72,56,31,7,23,0,False
Female,51,18,0,3000,1,510,61,33,37,5,26,0,False
Male,29,14,1,9,11,995,51,28,14,3,87,1,True
Male,31,14,0,4000,0,275,53,23,38,6,44,0,False
Male,65,16,0,21000,1,300,67,40,22,7,18,0,False
Male,10,8,1,61,33,880,47,2,7,1,90,1,True
Male,19,14,0,19,13,795,26,11,15,1,85,1,True
Male,85,16,0,4000,1,100,68,49,32,5,39,0,False
Male,7,5,1,51,10,900,25,18,5,0,90,1,False
Male,26,7,1,23,12,975,41,27,15,2,79,1,True
Male,62,21,1,87,9,970,65,52,19,0,80,1,True
Male,32,6,0,13,30,845,44,29,16,2,67,1,True
Female,45,22,0,12,4,310,65,64,49,5,17,0,False
Female,51,20,0,4000,0,450,65,54,33,7,19,0,False
Male,48,5,1,15,7,800,40,24,5,0,57,1,True
Male,7,14,0,81,8,705,70,50,15,3,52,1,True
Male,54,24,0,63,19,675,60,58,19,2,55,1,True
Female,35,6,0,18,15,815,24,10,18,3,63,1,True
Female,51,5,0,58,29,690,74,47,16,2,74,1,True
Female,84,20,1,3000,1,460,61,59,25,5,42,0,False
Male,21,9,1,72,39,960,49,6,6,1,97,1,True
Male,16,5,1,72,32,860,43,15,7,1,95,1,True
Male,95,24,1,2000,0,265,45,21,36,5,32,0,False
Male,11,5,1,18,18,805,53,14,15,0,81,1,True
Male,37,12,1,17,27,915,20,15,18,1,52,1,True
Female,83,22,0,4000,0,315,49,18,23,6,36,0,False
Male,48,6,1,11,19,655,24,11,7,0,89,1,True
Male,74,21,0,2000,0,300,71,42,25,7,32,0,False
Male,26,14,0,74,7,740,63,59,11,1,86,1,True
Male,44,14,0,16,20,675,24,24,11,1,69,1,True
Male,79,15,0,14000,0,225,70,44,42,7,16,0,False
Female,89,16,1,4000,0,540,60,41,49,7,27,0,False
Female,86,18,0,2000,0,455,69,46,36,5,37,0,False
Male,15,8,1,74,25,900,45,28,9,0,83,1,True
Male,16,12,1,24,27,960,40,26,8,3,86,1,True
Female,85,21,1,3000,0,165,74,43,37,5,41,0,False
Male,16,8,1,46,8,835,48,18,10,0,67,1,True
Male,56,12,0,17,11,965,54,24,15,1,80,1,True
Male,11,8,0,14,19,830,28,25,14,0,83,1,True
Male,71,19,1,10000,1,225,64,40,47,6,40,0,False
Male,55,24,0,83,6,785,74,34,13,2,79,1,True
Female,61,21,1,9000,0,190,70,31,21,5,47,0,False
Female,95,16,0,11000,0,235,63,38,34,7,41,0,False
Male,53,7,1,72,8,970,61,42,19,2,77,1,True
Female,81,21,0,24000,1,285,74,33,22,5,19,0,False
Male,46,8,0,5,0,381,59,59,53,6,19,1,True
Male,52,19,1,2000,0,385,36,10,33,5,48,0,False
Female,38,15,0,20,0,345,70,76,38,5,27,0,False
Male,29,8,1,88,16,745,67,58,10,0,82,1,True
Female,66,23,1,12000,1,440,71,43,44,5,22,0,False
Male,21,8,1,98,22,990,41,4,6,0,94,1,True
Female,32,8,1,14,15,955,53,24,5,1,83,1,True
Female,7,12,0,27,25,665,35,28,5,2,57,1,True
Female,61,16,1,3000,1,500,72,38,22,7,25,0,False
Female,81,23,0,2000,0,490,64,43,36,5,24,0,False
Male,12,8,1,19,5,770,25,13,11,3,87,1,True
Male,16,7,1,49,16,915,24,7,14,3,72,1,True
Female,41,21,0,21,4,490,74,57,38,5,27,0,False
Female,86,22,0,3000,0,295,70,34,37,6,49,0,False
Male,40,14,1,28,33,690,54,7,15,1,69,1,True
Male,20,8,1,63,13,840,29,13,8,0,93,1,True
Female,51,19,0,4,0,410,72,62,36,7,18,0,False
Male,16,8,0,14,11,795,49,13,9,0,84,1,True
Female,75,19,1,81,22,690,70,34,8,2,79,1,True
Female,85,15,0,4000,0,200,62,54,25,7,14,0,False
Female,12,13,0,4000,0,445,33,6,22,7,32,0,False
Female,71,24,0,3000,1,455,70,52,47,7,30,0,False
Male,41,12,1,31,23,820,29,17,14,2,50,1,True
Female,19,13,1,14,29,878,41,15,11,1,91,1,True
Female,92,16,1,3000,1,250,68,57,43,6,26,0,False
Male,20,7,1,57,14,830,34,12,8,1,93,1,True
Female,48,15,0,9,3,410,70,65,34,5,16,0,False
Male,72,23,1,84,33,980,67,35,10,2,89,1,True
Female,96,20,0,3000,1,230,62,46,35,5,21,0,False
Female,57,22,0,3000,0,495,64,57,21,6,19,0,False
Male,14,9,1,13,14,880,25,27,18,2,63,1,True
Male,20,6,1,57,22,850,43,4,7,0,90,1,True
Female,63,17,0,3000,0,120,71,54,38,7,33,0,False
Female,49,24,0,11,2,390,72,69,44,5,17,0,False
Male,97,24,0,2000,0,540,52,15,35,6,41,0,False
Female,11,13,0,8,8,860,30,10,11,1,63,1,True
Female,16,5,0,8,2,751,42,33,17,7,82,1,False
Female,45,15,0,2,4,360,73,77,31,5,12,0,False
Female,66,15,0,4000,0,225,70,36,29,5,22,0,False
Female,39,6,0,3000,1,545,52,28,47,7,34,0,False
Female,49,20,0,6,3,450,74,83,46,7,18,0,False
Female,56,18,1,12,0,402,63,51,40,5,17,0,False
Female,48,18,0,10,1,470,72,79,29,5,10,0,False
Female,32,5,0,77,16,970,69,45,6,1,58,1,True
Female,55,23,1,3000,1,460,69,57,42,7,21,0,False
Male,36,14,0,99,29,895,60,55,16,1,69,1,True
Male,48,8,1,11,12,805,46,11,15,0,73,1,True
Male,17,8,1,92,20,885,24,14,5,1,83,1,True
Male,18,15,1,3000,0,300,42,15,51,3,18,0,False
Male,9,9,0,15,35,685,45,18,7,3,69,1,True
Male,21,8,0,36,9,760,43,17,7,3,57,1,True
Male,15,9,1,63,39,925,39,1,9,1,89,1,True
Female,82,20,0,2000,0,120,68,47,21,5,15,0,False
Female,35,23,0,21,0,330,69,60,26,6,10,0,False
Male,72,18,0,98,10,995,66,34,10,3,73,1,True
Female,52,17,0,18,3,460,72,80,54,5,25,0,False
Female,42,20,0,3,1,475,67,61,41,6,22,0,False
Male,76,23,0,60,8,865,65,32,5,2,51,1,True
Female,52,17,0,17,1,335,69,77,38,6,12,0,False
Female,89,22,1,2000,0,235,71,43,26,5,39,0,False
Male,13,5,1,95,17,955,22,22,7,1,95,1,True
Female,61,23,0,2000,1,260,69,34,49,6,15,0,False
Female,32,11,1,2000,0,425,25,23,31,5,27,0,False
Female,60,20,0,4000,0,180,63,57,42,5,42,0,False
Female,17,11,1,19,32,675,40,6,16,2,58,1,True
Female,21,16,0,30,26,716,32,13,9,7,87,1,True
Male,23,9,1,5,13,745,48,23,12,1,63,1,True
Male,15,5,1,35,8,755,49,14,13,2,74,1,True
Female,45,20,0,16,2,335,68,56,49,6,12,0,False
Male,67,23,1,77,35,660,68,50,18,3,50,1,True
Female,77,16,0,3000,1,430,72,49,43,7,44,0,False
Female,77,20,0,3000,1,255,67,31,25,5,36,0,False
Male,33,5,0,48,15,816,36,32,5,0,90,0,True
Male,71,23,0,4000,0,495,41,25,23,6,26,0,False
Female,51,20,0,24,0,415,67,64,39,6,27,0,False
Female,50,18,1,12000,0,185,67,59,20,6,34,0,False
Male,51,9,1,15,17,750,23,20,8,3,81,1,True
Female,82,19,0,14000,0,445,64,59,40,5,29,0,False
Male,13,6,1,74,22,855,22,27,9,0,87,1,True
Female,75,22,0,8000,1,150,65,32,21,6,25,0,False
Female,93,20,1,5000,1,440,73,59,41,5,33,0,False
Female,43,17,0,18,4,475,72,51,36,7,18,0,False
Male,14,8,1,87,10,900,40,3,5,0,86,1,True
Male,45,14,1,34,16,720,35,16,7,0,69,1,True
Male,64,21,0,94,16,695,65,51,19,3,72,1,True
Male,11,9,0,20,20,950,24,25,16,2,78,1,True
Male,10,7,1,84,16,995,37,11,5,0,97,1,True
Male,10,5,0,15,10,740,33,12,10,0,85,1,True
Male,53,13,1,39,22,655,46,25,18,3,71,1,True
Male,27,9,1,15,33,915,39,12,8,1,71,1,True
Female,76,16,0,2000,0,220,63,35,41,5,46,0,False
Female,47,17,0,14,2,390,73,52,28,7,22,0,False
Female,31,11,1,2000,1,415,30,17,48,6,33,0,False
Male,14,5,1,72,25,900,37,1,16,0,97,0,True
Male,37,5,1,34,8,895,50,24,12,1,85,1,True
Female,96,21,0,7000,0,315,66,47,37,5,48,0,False
Male,61,22,0,2000,0,445,64,49,40,5,17,0,False
Male,40,13,1,18,19,655,36,21,14,1,87,1,True
Male,43,13,1,16,16,670,37,19,14,2,58,1,True
Male,28,9,1,12,17,910,47,13,8,1,51,1,True
Female,98,18,1,19000,1,285,65,40,23,6,31,0,False
Female,64,21,1,15000,1,100,70,53,27,5,18,0,False
Male,29,7,1,22,26,905,46,7,6,1,55,1,True
Male,39,11,1,9,32,820,29,26,16,1,50,1,True
Female,96,20,0,20000,1,255,65,55,32,5,13,0,False
Female,36,21,0,12,4,405,71,67,44,5,17,0,False
Male,86,13,1,2000,2,339,60,47,24,1,21,1,True
Female,80,21,0,2000,0,380,68,36,30,5,27,0,False
Male,21,7,1,55,33,815,33,20,5,1,89,1,True
Female,67,20,0,4000,1,510,61,59,44,7,24,0,False
Male,21,5,1,2000,0,145,31,6,21,7,25,0,False
Female,53,16,0,9,3,310,73,60,45,7,24,0,False
Male,56,6,1,22,33,690,21,27,11,3,60,1,True
Male,57,23,1,3000,1,485,21,25,37,6,29,0,False
Female,49,22,0,8,3,345,70,75,26,5,11,0,False
Male,54,16,1,55,10,970,66,42,6,2,65,1,True
Male,22,9,1,73,15,805,33,23,9,1,95,1,True
Female,59,5,1,25,30,865,25,22,9,2,50,1,True
Male,13,12,0,14,6,895,26,13,17,2,72,1,True
Female,50,24,0,15,3,435,67,50,25,7,16,0,False
Male,57,7,0,14,23,675,26,26,12,1,50,1,True
Male,24,10,0,19,8,810,23,11,15,0,71,1,True
Male,17,9,1,67,35,975,47,23,6,1,96,1,True
Female,38,14,0,13,7,755,31,12,5,3,74,1,True
Male,59,20,1,99,26,815,60,56,11,0,80,1,True
Male,91,9,1,3004,4,300,68,35,41,7,17,0,True
Male,16,5,1,77,22,920,38,10,7,0,88,1,True
Male,33,11,1,18,18,775,39,8,15,0,50,1,True
Female,55,22,1,3000,0,535,70,37,41,7,25,0,False
Female,97,15,1,2000,0,105,65,42,32,6,26,0,False
Male,12,14,1,23,28,845,41,13,16,3,83,1,True
Male,13,7,1,84,17,810,42,2,8,0,80,1,True
Female,48,23,0,2,0,360,74,59,50,6,21,0,False
Male,53,18,0,2000,1,220,70,45,47,5,24,0,False
Male,24,7,1,96,12,820,26,19,9,1,93,1,True
Female,43,8,0,4000,0,485,46,5,20,7,17,0,False
Male,78,20,1,20000,1,470,61,57,30,7,30,0,False
Female,47,12,0,98,8,980,71,58,6,1,71,1,True
Female,52,23,0,10,3,350,65,60,27,6,11,0,False
Male,12,6,0,5,18,885,27,23,6,2,67,1,True
Male,15,7,1,52,37,990,24,17,6,1,83,1,True
